date_posted;price;city;subregion;region;post_text;posts_scraped_on
2021-12-21T13:30:32-0600;100;Anywhere In Chicagoland On Zoom;City Of Chicago;chicago;Tenured math professor at a major university offering virtual math tutoring at any level (high school through grad school). Extensive experience training students for math competitions (including Putnam and IMO). CV available upon request. This is mostly to deal with boredom, so I will not be accepting every inquiry.  $100 per hour (includes a complimentary half hour trial lesson).    ;2021-12-23
2021-12-15T05:01:26-0600;57;Chicago;North Chicagoland;chicago;BlakeTutoring.comOVER 450 5-star reviews on Wyzant & Thumbtack1 hour sessions for only $5730 minute sessions for only $35Text/Call: 724-804-8356Hi, my name is Alexander Blake, and I have been tutoring for over 10,000 hours! I graduated with a Bachelor's in Computer Science from California State University, Fullerton. In my time tutoring, I have tutored elementary through graduate level students.I have successfully prepared students for SAT and ACT Math tests, and up to Calculus level work. In high school, I was in an accelerated math program where I was able to take AP Calculus AB my junior year, and AP Calculus BC my senior year. After taking the AP Calculus AB & BC Exams, I scored a 5 out of 5 on both tests. This allowed me to not only begin my higher-level math courses early in college but has also enabled me to keep my math skills refined, and graduate with a 3.8 GPA.My tutoring philosophy focuses on the individual. I like to know what each of my clients likes to do outside of school so I can relate the math concepts they are learning about things they enjoy doing. To accomplish this, I personally design my lesson plans and customize them to my client's personality. For example, if I have a student that plays basketball, I will have them solve problems that incorporate concepts of basketball, such as finding a team's field goal percentage. By focusing on each person uniquely, I am able to fully understand why the student is not grasping certain concepts and can help them understand concepts and terms they are already familiar with. This is why all of my students have been and will continue to be successful!Math: Algebra I/II, Calculus (AP AB & College Level), Common Core, Geometry, Precalculus, Statistics (AP/College Level), & TrigonometryComputer Science: AP CS A/Principles, C/C++, CSS, HTML, Java, JavaScript, Linux (Bash/Zsh), Python, & SQLTest Preparation: ACT (All Sections), ASVAB, GED, HiSET, & SAT (All Sections)Text/Call: 724-804-8356 ;2021-12-23
2021-12-07T15:33:50-0600;60;None;City Of Chicago;chicago;Licensed K-8th Grade teacher (with over 12 years of experience in a 6th-8th Grade public school classroom) offering virtual one-on-one Math tutoring via Zoom to support students with their specific academic needs. Price per session begins at $30. Please contact me for more information and to schedule a free consultation.Session Options/Pricing:Initial Consultation (Free)30-minute session ($30)60-minute session ($60)90-minute session ($90)    ;2021-12-23
2021-12-19T11:00:36-0600;50;Chicago;City Of Chicago;chicago;I hope everything is fine and I am glad to have you here. I am fully vaccinated and available to meet in – person and Online tooSpecialization:I hold a Doctorate in Statistics with an Undergraduate Degree in Math (Major)15+ years of tutoring experience via digital board.Get: 1. 100% Excellence work2. A+ Grade3. 100% buyer satisfaction with excellent teaching 4. Fee after work done5. Teach concept in effective mannerService specifics:College Algebra Integration Differential equations Limits Series Linear Algebra Linear Programming Operations research Numerical Analysis Mathematics Advanced Calculus 1 Calculus 2 Calculus 3 Trigonometry Vectors Higher Mathematics Complex analysis Pre-calculus Complex analysis Discrete Finite Math Differentiation Excel Tableau Pre-Algebra Tutor MinitabRate:Zoom 1-on-1 tutoring$50 First hour (1hr) $100 (2hrs)$135 (3hrs)Credentials:Worked for 2 companies namedDatameer (2014-2017) as a Statistics Data AnalysisIBM (2017 onwards) as a Senior Statistician Tutoring Keywords: MATH 116 Calc MBA 626, 215, QMS 423, BUS 14A, BUS 14B, Pre-Calculus MATH 1 (UCLA) STATISTICS 10 (UCLA), MATH 10A (UCSD), MATH 10B (UCSD), MATH 20A (UCSD), MATH 20B (UCSD), MATH 20C (UCSD), MATH 20D (UCSD), MATH 11 (UCSD), MATH 2 (UCSD),Math12400MATH 8 (SMC), MATH 31A (UCLA), MATH 112, MATH 120, MATH 102 (LMU), MATH 142, MATH 241/242, STAT 015, STAT 050, MATH 10, MAT 191, MATH 114, MATH 117, MATH 110C, MATH 130C, MATH 131, MATH 137,, MATH 138, MATH 150C, MATH 160C, MATH 138, MATH 150, MATH 160, MATH 200, MATH 220 (SBCC), MATH 124MAT 192, MAT 131, MAT 321, MAT 421, MAT 131, MATH 227, QMS 321, IS 310 MAT240, (CSULB),MAT 323, MAE 505, MATH 2 (UCSD), MATH 3C (UCSD), MATH 4C (UCSD)I can send you either a hand written or a word document according to your need. For live - Hand written work in specific time.;2021-12-23
2021-12-18T09:35:14-0600;104.5;Chicago;City Of Chicago;chicago;"I train students to attack the GMAT with confidence, efficiency, and purpose. Using my own original curriculum in addition to the Official Guide, I train students to apply strategies that easier to learn and more effective than anything else on the market (in my humble opinion). But you don't have to take my word for it as you do NOT pay for the first session unless you hire me for future sessions. And since I love my work, I'm friendly, professional, and take GMAT training very seriously. Training takes place online via one-on-one video conference and uses my original GMAT curriculum in conjunction with Official GMAT material. $84 per hour ($125 for each 90-minute session). 5 years with a major test-prep company, independent for 11+ years. As an expert in everything GMAT, I can confidently say that most GMAT training should focus on the Quantitative section. Do I know the Verbal inside and out? Of course. But my professional recommendation is that most Verbal should be done through self-study, simply because the Quantitative section can be so broad. Although the GMAT only tests math up to about 10th grade, every single concept ever covered from K -10 is fair game. Like ""remainders"" or ""units digits"" - all fair game.I also focus on the psychology of the GMAT, including confidence issues and time management. If you're interested in moving forward, we should chat over the phone. I'll have some questions for you as I'm sure you'll have for me. My goofy website can fill in the details of how I work and features pictures of the world's most handsome rescue animals: www.TestTrainerinc.comPlease feel free to call me at your convenience at (510) 847-9711.Just remember: I can't make you smarter, just a whole lot faster.Chicago GMAT tutor, Chicago GMAT prep courseChicago GMAT tutor, Chicago GMAT prep courseChicago GMAT tutor 60605, Chicago GMAT prep courseChicago GMAT tutor, Chicago GMAT prep courseChicago GMAT tutor, Chicago GMAT prep courseChicago GMAT tutor 60605, Chicago GMAT prep courseChicago GMAT tutor, Chicago GMAT prep courseChicago GMAT tutor, Chicago GMAT prep courseChicago GMAT tutor 60605, Chicago GMAT prep course    ";2021-12-23
2021-12-17T09:00:04-0600;50.0;None;City Of Chicago;chicago;I'm a trained mathematician with about 20 years experience tutoring all levels of math. I have experience preparing students for GRE/GMAT, SAT, and other college admission tests. I provide remote services.My hourly rates are below:Remote: $35 (1 hour), $65 (2 hours)    ;2021-12-23
2021-12-14T11:45:48-0600;30;Entire Chicago Area;City Of Chicago;chicago;Please visit us at www.sharpmindclasses.com Please feel free to text/call us at (650) 398-9490.About Us:At SharpMind Classes Inc, we are an experienced team that includes hand picked tutors and founders from IITs/Stanford dedicated to personalized 1:1 online tutoring. All our tutors have a Master of Science and/or a PhD degree in respective disciplines. All our tutors have  >5 years of experience  with online tutoring and helping students succeed in achieving their academic goals. Our online courses are designed to give students an excellent grasp of concepts in respective subjects with a focus on strong foundation building and practice based learning. We use state of the art audio/visual tools (Skype/Zoom/Google Meets/Whiteboard) to have a seamless online tutoring experience. Class room teaching uses one-size-fits-none approach and is not ideal for students with wide range of learning pace and abilities. It ends up overwhelming some students or causing boredom and thus reduced interest in others. We customize your tutoring plan based on the results of an assessment to define the content and pace of tutoring to your individual needs. Comprehensive assessments and worksheets are also used to define the baseline competency at the beginning of tutoring, to build confidence and test taking skills and to periodically demonstrate sustained progress.References can be provided upon request.Rates:Our rates are:* $20/hr for K-8* $25/hr for high school* $30/hr for college* $30/hr for HSPT/TASC/COOP, SAT/ACT, GMAT and GRE. First class is free for you to assess a good fit with the tutor.Tutoring Subjects:We offer online tutoring in the following subjects:Competitive Exams:•	HSPT •	TASC •	COOP •	SAT •	GRE •	GMAT Math:•	Grades K-12 Math•	Algebra 1 (Beginning), 2 (Intermediate)•	College Algebra•	Geometry•	Precalculus•	AP Calculus: AB and BC•	Calculus I: Differential Calculus•	Calculus II: Integral Calculus•	Calculus III: Multivariable Calculus•	Common Core: Math 1, Math 2, Math 3Science:•	Grades 1 – 10 Science.•	Chemistry•	AP Chemistry•	College General Chemistry•	Biology•	AP Biology•	College General Biology•	Physics•	AP Physics 1 and 2•	AP Physics C: Mechanics•	AP Physics C: Electricity & Magnetism•	College General PhysicsHumanities:•	Grades 1 – 12 English Composition and Writing.•	AP Economics•	AP World History  If you have a question about possible subjects to tutor in, please contact us with your contact information and we will promptly reply. Please feel free to text/call us at (650) 398-9490. ;2021-12-23
2021-11-25T11:32:27-0600;40;Online;City Of Chicago;chicago;★★ College Math Tutor★ Calculus I ,II & III, AP Calculus AB/BC , Trig, College Algebra, College Statistics, Linear Algebra, ODEWebsite :www.collegemathcourses.comYouTube :(Under Construction)https://www.youtube.com/channel/UCqhFZRmUqOAAPMQpo58TV7g★★All tutoring is done by One Tutor. ★★Elementary Statistics and ProbabilityIntroduction to Statistical ReasoningProbability and StatisticsMathematical StatisticsPre-AlgebraIntermediate AlgebraCollege Algebra/Algebra 1/Algebra 2GeometryTrigonometry (Trig)Finite MathematicsPre-Calculus /Math AnalysisCalculus I , II and IIIVector CalculusIntroduction Linear Algebra (Matrix)Finite Mathematics===For Engineering students ========================Advanced CalculusDifferential and Integral CalculusMultiple Variable CalculusApplied Statistics and Probability for EngineersComplex NumbersDifferential EquationEngineering Analysis===For MBA and EMBA students ====================Business StatisticsBusiness CalculusIntroduction to Statistical ReasoningOperational ResearchOptimizationQuantitative AnalysisDecision AnalysisManagement ScienceLinear ProgrammingTransportation ProblemsExcel TableauMathematics and PoliticsProject ManagementTest PreparationSATCBEST, CSET I, II and III (MATHEMATICS for HS and Middle school Teachers)GRE MATHGMAT MATHAP Calculus AB and BCAP StatisticsGraphing Calculation helpHourly Rate : Depending on the subject: ==== Most Math/Stats Subjects $30-40/hr ================= ★★ $30/hr - $40/hr ★★ ====================================Assignment Help, Homework Help -Step by Step Solutions Rate :$30/hr - $40/hr================================================================================== ★★ $40/hr ★★ =======================================Zoom 1-on-1 tutoring : $40/hr====================================================================★ I can help students with their homework assignments , projects, and prepare for the Exams★★ I will forward you a PDF file of the notes and problems solved during the tutoring session if needed★==★★ Exp University Level Math Tutor (MS Applied Mathematics, MS Applied Statistics and MS Aerospace Engineering) ★★ ================ ★★ ★★ =======================================GRE MATH (My GRE MATH Score : 800/800)============================================================★★ You're not paying for the hours or minutes but for Education, Knowledge and Experience ★★★★★★★★ Text/ Email Preferred (Text for a Faster Response ) ★★★★★★============================================================================Keywords: High School, Middle School, College, University, Home school, Online Help, Google Drive, Zoom, Screen share, whiteboard, , Graphing Calculator Help, Consultation, STEM, Excel, statcrunch, F201, MBA 626, QUMS 505, BUAD 310 (USC), QBUS 215, MATH 227, QMS 321, IS 310 (CSULB), QMS 423, BUS 14A, BUS 14B, Pre-Calculus MATH 1 (UCLA), Introduction to Statistical Reasoning STATISTICS 10 (UCLA), MATH 8 (SMC), MATH 31A (UCLA), MATH 112, MATH 120, MATH 102 (LMU), MATH 142, MATH 241/242, STAT 015, STAT 050, MATH 10, MAT 191, MAT 192, MAT 131, MAT 321, MAT 421, MAT 131, MAT 323, MAE 505, PPD 502X, Psych 210, Psy 3307 , MA-336 (CUNY), MA-114 (CUNY), MA-119 (CUNY) , MA-441 (CUNY), MA-442 (CUNY), MA-440(CUNY), MA-261 (CUNY), MA-121 (CUNY), MA-120 (CUNY), MA-10 (CUNY), MATH 2 (UCSD), MATH 3C (UCSD), MATH 4C (UCSD), MATH 10A (UCSD), MATH 10B (UCSD), MATH 20A (UCSD), MATH 20B (UCSD), MATH 20C (UCSD), MATH 20D (UCSD), MATH 11 (UCSD), MATH 2 (UCSD),Math 165 (El Camino), Math12400,.....(SMC) Math 1, Math 2, Math 2C, Math 3, Math 3C, Math 4, Math 4C, Math 7, Math 8, Math 15, Math 18, Math 20, Math 21C, Math 26, Math 26C, Math 28, Math 29, Math 31, Math 32, Math 41, Math 50, Math 54,Math 54C,Math 81,Math 84,Math 85 (SMC)(SBCC) MATH 114, MATH 117, MATH 110C, MATH 130C, MATH 131, MATH 137,, MATH 138, MATH 150C, MATH 160C, MATH 138, MATH 150, MATH 160, MATH 200, MATH 220 (SBCC), MATH 124, MATH 1040 (Honors), MAT 241 ( Calculus 3/ Illinois)Calculus II :Convergence TEST & Divergence TESTAbsolutely ConvergentConditionally ConvergentGeometric Seriesp-SeriesDirect ComparisonLimit ComparisonRatio TestRoot TestIntegral TestAlternating SeriesCalculus III3D Coordinate SystemsVector FunctionsPartial DerivativesMaximum and Minimum Values (With constraints)Multiple IntegralsVector CalculusLine IntegralsSurface IntegralsApplications (Calculus 1, 2 and 3)College Statistics :Elasticity, ANOVA, Z , t , Normal, Poisson, Binomial, Exponential, Uniform, Negative Binomial, Hyper-geometric distributions , Trigonometry, Integration, Integration by Parts, Differentiation, derivative , Theory of Voting, Majority Rule, Voting Methods, Voting Power, Minimum Spanning tree , Shortest path, spanning tree , PERT, CPM, ALEKS, Cengage ,Canvas, MyMathLab , MyStatLab ,Pearson , Wiley , Brightspace, MyOpenMath, Connect,Webwork. ConnectMath, StraighterLine , Statcrunch ,WebAssign , Lumenohm. etc    ;2021-12-23
2021-11-24T13:07:41-0600;32.5;Chicago;City Of Chicago;chicago;Do you need help with your Math, Chemistry, Physics, or Engineering classes? Our mission is to help students succeed in their classes. We provide 24/7 assistance to take away the stress of upcoming Assignments / Homework , Projects and Exams. PCM only works with highly experienced, professional tutors who have a proven track record of success. Our individualized approach has helped countless students achieve the academic and test prep goals of their dreams.CHEMISTRY: Introductory Chemistry , AP Chemistry , General Chemistry I and II, Organic Chemistry I and II , Advanced Organic Chemistry , Biochemistry , Physical Chemistry , Analytical Chemistry , ThermochemistryPHYSICS: AP Physics , Engineering Thermodynamics , Applied Physics , Mechanics / Motion , Geometric Optics , Thermodynamics , Fluid Mechanics , Electro Statics / Electro-Dynamics / Magnetism , Circuits / Advanced Circuit Concepts , Oscillations / Waves , Atomic / Nuclear / Particle Physics , Modern Physics / Intro Quantum , Astro-Physics / Astronomy , Quantum Mechanics MATH: Algebra 1 / Beginning Algebra , Geometry , Trigonometry , Pre-Algebra / Elementary Math , Algebra 2 / Intermediate Algebra , Probability and Statistics , Elementary Statistics , Business Statistics , Stats for Social Sciences and Psychology , Mathematical Concepts / Foundations of Mathematics , Business Calculus , Calculus 1 ( single variable ) , Calculus 2 ( single variable ) , Calculus 3 ( multi variable ) , Differential Equations ( calc 4 ) , Differential Equations using MATLAB , College Algebra / Advanced Algebra , Discrete / Finite Math , Linear Algebra.Hourly Rate: $35/hr**$30/hr for help requiring >10 hours. 20% discount available for referrals.Contact Us:Website:PCMassist.comEmail: help@pcmassist.comText: (818) 458-0086Work with us once and you won’t regret it! We guarantee an A+ work!    ;2021-12-23
2021-12-07T20:45:19-0600;50;None;North Chicagoland;chicago;Tutoring rate. $50/hr, Group Rate, $10 each additional person.CLASSES OFFERED:PHYSICS: Physics with Calculus, Mechanics, Statistics/Probability, Quantum Mechanics and Electrodynamics, college and high school level. GRE, MCAT, SAT Physics.MATH: Calculus I, II, III, Business Calc, Linear Algebra, Econ lin Alg, Differential Equations, Statistics, Pre-Calculus, Trigonometry, Geometry, Algebra, Pre-Algebra, Microsoft Excel, college and high school level. Test preparation for math, GMAT, GRE, MCAT, LSAT, SAT, ACT, LSAT, GED and any other entrance exam.California Contractors State license Board, CSLB exams, math help for, electrictrical/low voltage, carpentry, boiler, concrete, elevator HVAC, plumbing, solar, welding.CHEMISTRY: General College Chemistry I,II, college and high school level.ESSAY/TERM PAPER: Term paper preparation, presentations and public speaking.ONLINE TUTORING ONLY, I have a professional Zoom account with unlimited time, Skype or any other video conferencing platform will also work. I have equation editing software, so I can type out the equations we are discussing and share my screen for easy viewing. I can then save the finished work and email the PDF for later review.I am in the Pacific time zone.In the Central time zone, Your 12 Noon is my 10 am.TUTORING CREDENTIALSI have been tutoring for 6+ years, and I have many students who are all satisfied with my help. I have earned my B.S and M.S. in Physics from San Francisco State University in May 2017. You can confirm my credentials through the WYZANT tutoring website. I have a 5 star rating and I strive to give you the best tutoring experience possible. I have also passed Wyzant’s background checks. You can paste this link into your search window for security. https://www.wyzant.com/Tutors/PhysicsMath_TrevorKYou can also check out my website, https//trevorskelly.com/ for more details on tutoring for physics, math and chemistry and physics research consulting.I CAN HELP YOU WITH TUTORING:Do you need help with your Physics with Calculus classes, or just need help with math? I can help you study for a test or homework. I know how difficult learning physics, math and chemistry can be, and I will help you to avoid the common conceptual mistakes and pitfalls. If you would like help in physics, math or chemistry, feel free to contact me. Many people ask me to do their work for them, here is my response: I WILL NOT COMPLETE YOUR EXAMS, TESTS OR HOMEWORK FOR YOU, PLEASE DO NOT EVEN ASK.I am well versed in the subjects of Physics with calculus, from kinematics all the way up to special relativity. I can also help you with Calculus I, II, III, Statistics, Pre-Calculus, Trigonometry, Geometry, Algebra, Pre-Algebra Trig, and Algebra. Lower level physics and math students are also welcome. I can also help you with general chemistry I, II, which deal with buffers, titration, and rates of reaction (kinetics).I live in the bay area and I offer high quality online tutoring. My hourly rate is $50. I accept students of all ages.My name is Trevor, please contact me through the Craigslist messenger.Optics Experience/Physics Research and DevelopmentI can assist with Research and Development of specific physics, optics, photonics and fluid dynamics application ideas from original conception to completion. Currently I am a self-employed research consultant and private tutor. Please check my website, https//trevorskelly.com/ for more information.Please inquire if you would like more details.;2021-12-23
