date_posted,link,price,city,subregion,region,post_text,prices_need_cleaning,posts_scraped_on
2021-12-22T16:26:46-0800,https://sfbay.craigslist.org/sby/lss/d/los-altos-experienced-online-sat-act/7424122377.html,None,Cupertino,South Bay,sf_bay_area,"Note that all sessions take place online. I've been tutoring online for years and find it highly effective. Please visit my website at resolutiontestprep.com for logistics/pricing information and to schedule a free consultation call.I’m an experienced, effective test prep specialist with over 15 years of private tutoring experience for the LSAT, SAT, ACT, and GRE. I help students build the content knowledge necessary for the tests, and also work with students to develop test reasoning, strategies, and time management skills. Recent students have raised their SAT/PSAT scores by hundreds of points or have achieved the LSAT/GRE scores needed to make themselves highly competitive in their desired law or graduate school program. I had 4 students receive perfect or nearly perfect ACT scores in 2019 (the last full cycle before the pandemic cancellations). I also tutor math up to pre-calculus or SSAT/ISEE (middle level or above) upon request.LSAT I have been tutoring the LSAT since 2010. My highest official score is a 177 on the recent July 2019 LSAT, which I took to get an inside look at the digital test. I work hard to maintain solid skills on the LSAT. This is the test I tutor the most often by far. My students come to me at all starting points, from the 130s to the 160s shooting for the 170s. We work first on the areas that will have the biggest payoff for score gains, and I provide study plans for the individual practice that should be done between sessions. Recent students have raised their LSAT scores by 5, 10, even 20+ points and have achieved the scores needed to make themselves highly competitive at their desired law school.SAT/PSAT/ACTI have taught all subjects of the SAT/PSAT and ACT for over 15 years and am up-to-date on the current formats of each test. For the math sections, I focus on test strategy interspersed with content review as necessary. For the reading section, I teach strategies for reading the passages themselves and for answering the questions using evidence from the passages. We work on vocabulary as necessary. For the English/writing sections, we review grammar that many students were never explicitly taught in school. We also work on techniques for the essays so that students know how to structure their writing and support their ideas. For the ACT science section, I teach students techniques for getting information reliably and quickly from the figures. My own SAT scores were 790 Math and 800 Verbal in 1999. I’ve scored in the 99th percentile on ACT practice tests as well.GREI have significant experience teaching the GRE and have worked with students on all sections of the test. I particularly enjoy helping students make sense of the Quantitative Comparison questions. My LSAT background helps with the critical reasoning questions on both tests. I also help students develop templates to make the essay sections easier. My students have ranged from those who haven't done math in years to those who are shooting for a near perfect score. My own scores are above the 95th percentile on practice test for the GMAT and a 170V, 169Q on the GRE.Rate and LogisticsYou can find information about rates, logistics, and policies on my website resolutiontestprep.com. Schedule a free consultation call at resolutiontestprep.com/scheduleI meet with students online, using Zoom and an online interactive whiteboard for us to collaboratively take notes on uploaded materials. Previous students find online tutoring convenient, flexible, and just as effective as meeting face-to-face. I offer a risk-free guarantee for the first hour of tutoring. If you are not satisfied or feel the tutoring is not a good fit, the first hour will be fully refunded. More details at www.resolutiontestprep.com.TestimonialsBefore working with Carrie I took an LSAT practice test and scored a 120. I was down in the dumps and knew I needed to increase my score dramatically to be accepted into law school. Even though my initial score was low I still had set high expectations for myself. I set a goal to improve my score to high 160's range. Carrie has helped me tremendously. During our first meeting she assured me that with her extensive experience tutoring students on the LSAT that if I put in the work I would be able to improve my score dramatically. I have been working with Carrie for about two months now. I scored a 158 on my last practice test and feel confident with more practice and tutoring I will be able to achieve my goal. I cannot recommend Carrie enough if you are looking for a skilled, patient, and knowledgeable tutor. Carrie is an amazing tutor. I chose her out of many because she understood exactly what the goal was...to improve my son's PSAT scores. Even though we were in different states, my son and Carrie were able to meet every week. After every session, she touched bases with me, letting me know what they worked on and what he needed to work on independently. My son is a good test taker and I had some doubts that he could improve much more but he did with the help of Carrie. My son improved so much on the PSAT, that he is now NMSC eligible, scoring in the 99th percentile with a PERFECT math score. He felt confident after the PSAT and scheduled the SAT, while still meeting with Carrie on a weekly basis. SAT scores just came in and he is again in the 99th percentile with a PERFECT math score again. I highly recommend Carrie. She is super professional, knowledgeable, and always responds to my questions and requests. THANKS, CARRIE!!!Over the course of my learning experience with Carrie, she was able to communicate subject matter in an easy to understand way. She has a fantastic attitude, and was very patient. Her thorough breakdown of material made it easier to digest and understand, making me feel more confident leading up to the test date. In a somewhat short time frame that we had until the date of my test, she was able to work efficiently with me to improve my [LSAT] score from previous scores immensely. Carrie is also extremely adaptable with flexibility in time and scheduling, accommodating changes I had requested. She also topped it off with helpful tips! I would 100% use Carrie as a tutor again for future matters.As an already high-scoring SAT student, I wasn’t planning on getting a tutor for my final run of the test. I am so glad that I ended up pursuing tutoring and found Carrie. Over 7 two-hour lessons, she gave me the tools to improve significantly. Her amiability and patience are surpassed only by her extensive knowledge of the SAT itself, not only does she know the subject matter and how to teach it effectively, she also gave me strategies tailored to the test to increase my efficiency and overall confidence. In the end, I increased my score 70 points to earn a 1540. I believe much of that improvement is due to Carrie. Bottom line: Carrie is amazing!Carrie was a wonderful tutor. She worked with my 9-year-old daughter to prepare her for the verbal section of the elementary level ISEE. My daughter thoroughly enjoyed her lessons with Carrie. She thought Carrie was clear, helpful, supportive, and funny. Carrie's lessons were always well organized and she gave a clear summary of what she covered in each lesson in her recap. I recommend Carrie highly. My daughter would like to continue having Carrie as her tutor.Carrie helped my daughter study for the ACT when she took it for the second time. Her score from her first test was average, but we felt she could do better. In particular, she was trying to increase her score in the science section. They focused on science during the tutor sessions but also reviewed the other sections. We were so excited, my daughter's overall score increased by 3 points and her science score increased by 5 points. She actually increased her score in all sections! We can't thank Carrie enough for helping my daughter focus and study. I would highly recommend Carrie for your tutoring needs!Carrie is very bright and really knows how to break down any problems you have. Her explanations are easy to understand and once she teaches you something, it stays with you and problems you saw in the past go away. She was always on time and very respectful. She was flexible in terms of when I could meet with her. She was great and I would recommend her to anyone.Carrie has worked around my hectic summer schedule of job, training, and school. She outshines any tutor I have had thus far. In college, the academic tutors they assigned us athletes were there in body but struggled to help when encountering challenging math questions. Carrie, on the other hand, is really knowledgeable and doesn't waste time figuring out what I don't understand. I really appreciated working with her through the accelerated summer math class I needed to take.About MeI was formally trained as a tutor in 2003 and have even won a National Tutor of the Year award for my work with one major test prep company. I've tutored online since 2010 and absolutely love it. I have a master’s in Applied Linguistics focusing on second language acquisition, and my hobby is trying to master the Korean language. My tutoring schedule often gets full fairly quickly. Message me today with any questions or to reserve your spot.",False,2021-12-22
2021-12-22T15:47:32-0800,https://sfbay.craigslist.org/eby/lss/d/fremont-tutor-science-math-writing/7424109697.html,60,Fremont / Union City / Newark,East Bay,sf_bay_area,"$60/hr.I have a broad background in the sciences, as well as skills useful for the college application process.Undergraduate: Rice University, double major Biochemistry and Physics, summa cum laude.Ph.D. Yale University, Molecular Biophysics and Biochemistry.  My Ph.D. advisor, Thomas A. Steitz, received the Nobel Prize in Chemistry, 2009.I’ve had great success helping students edit their college application essays.  I’ve taught a small writing class.  I’ve also had experience interviewing student applicants, as an alumni interviewer for Rice.As a tutor, I believe strongly in teaching students how to think critically. I prefer in-person tutoring.  I received my second Moderna shot on 4/30/2021 and the Moderna booster at the end of October.    ",False,2021-12-22
2021-12-21T18:09:40-0800,https://sfbay.craigslist.org/sby/lss/d/sunnyvale-math-physics-chemistry-tutor/7423754456.html,None,San Jose North,South Bay,sf_bay_area,"Hi Parents & Students!Please call or text me at 647-679-4442 (San Francisco/San Jose) for more information, or to discuss your needs in more detail.I am an expert tutor and have helped students in every Math, Physics, Chemistry, Biology, English, Science, AP, IB, and SAT subject for over 12 years. I am a Certified Teacher and graduated with degrees in Physics, Biochemistry, Mathematics, and Education. Due to COVID-19, I tutor students online through a great virtual platform. If you are interested in meeting in person for tutoring, this is also possible. Feel free to contact me about this. Please read below for more information!My approach:- I tailor each lesson to match each student's learning style.- I am patient, personable, and understanding. I have worked with 40+ different learning types and have mastered how to work with each successfully. Every student is different but the goals are the same – to be successful. I can show them how.- I create detailed lesson notes and assign homework and feedback to ensure tutoring is as effective as possible.Information about what I'm offering:- Tutor all high school Math, Calculus, Science, Physics, Chemistry, Biology, and English courses.- Also Tutor University Calculus & Physics.- Will drive to your home or meet you at a convenient location.- Online lessons are also available.- First hour is free!- Cell: 647-679-4442 (texting is easiest, but feel free to call or leave a voice mail and I'll get back to you the same day).- Both high school and adult students are welcome to call!Information about me:- I am a Certified Senior Mathematics and Sciences Teacher- I have been teaching since 2009- I am fun and energetic in my teaching style!    ",False,2021-12-22
2021-12-21T12:27:58-0800,https://sfbay.craigslist.org/nby/lss/d/kentfield-math-science-tutor-available/7423630292.html,None,None,North Bay,sf_bay_area,"I'm a Math and Science teacher with a number of years of experience working with high school and college students. I am staying in the area over the holiday season and am available to tutor any level of high school or college math, statistics, chemistry or physics.So, if you are preparing for post-holiday finals, trying to get ahead in the classes you'll be taking in the spring, prepping for a standardized test, or just want to make use of your break, feel free to contact me.I am happy to drive to meet you live with in the SF/Oakland/San Rafael triangle or to meet online on Zoom.algebra, geometry, precalculus, trigonometry, trig, calculus, calc, physics, chemistry, statistics, AP, PSAT, SAT, SAT II, ACT, GRE, GMAT, CBEST, ....    ",False,2021-12-22
2021-12-21T08:07:58-0800,https://sfbay.craigslist.org/sby/lss/d/palo-alto-free-hour-experienced-tutor/7423496674.html,20,None,South Bay,sf_bay_area,"""Hey there!My name is Angel and I’ve been tutoring with Ansari Math for about a year and a half now.Math can get a bit tricky sometimes but a big part of it is trying to look at it from different perspectives, one explanation doesn’t always work for everybody!Let’s find your explanations, I’m always happy to help and I can’t wait to work with you!""-AngelRate: $20/hour (1 hour and 1 week free)""Best tutoring service I have worked with. Flexible hours, fair prices, friendly/knowledgeable staff.""-Daniel"" Finally, my daughter has tutors who are extremely knowledgeable and professional. After each session, a progress report is provided, keeping me well-informed. She is now optimistic and hopeful that she will do well in her Math Analysis course.""-Claudina Fenley""Couldn’t have asked for a better tutor! Helped me bring up my grades and prepare me for future courses. Would definitely recommend to anyone struggling with math.""-Nima""I registered to take my ACT in July, and started studying a month before. Math was my weakness and I had limited time to address my content issues, nevertheless, my tutor Peerlinc was so reliable and available for our scheduled appointments, even if they were last minute. At the end of our sessions, I felt confident and prepared content-wise going into the Math Section of my ACT. My tutor taught me how to decode word problems with many factors that to the untrained eye, might look difficult, after just one month of studying my tutor taught me many skills in approaching concepts that I knew, but were worded differently than I was used to. Overall, I had an excellent experience with my tutor and I strongly recommend him to anyone with content issues and a limited time to study!""-Sonya S""Its super easy to book a class you can do it in under a minute.""-Liam Herrera“I could not be more pleased with my daughter’s tutor and this program overall. I love the technology. She enjoys her lesson and is ever more confident in math. She is empowered to schedule her own sessions on the website. Her tutor was kind, positive and gave her follow up homework. I also love that her tutor is a student at a top tier university. It motivates her and she can better visualize herself at an amazing college for added motivation. I highly recommend. Stacey ( mother of a 7 grader)”-Stacey Zionts""Great experience. Needed help with multiple math subjects and accommodate me on everything I needed. Great tutors.""-Shayan""I was struggling during my summer semester in my intermediate algebra class. Luckily, through the tutoring and guidance from Peerlinc tutoring, I was able to bring my grade from a certain F all the way back up to an A. They really had a great way of breaking down each problem to the point where I could understand the material. More importantly, they always made time for me and always prioritized the needs that I had for school. I would highly recommend Peerlinc Math Tutoring to anyone!!!""-David Lindwall""Loved it! Made learning calculus so much easier. The tutors are super helpful and they genuinely care to help you succeed in math. Definitely use Ansari Mathematics!""-Sifath Mannan""Great tutor. Really knows his material. Walked through math , step by step, didn’t skip any parts.""-Greg SiasText 2133408660 or register at peerlinc.com for 1 free hour (1 week free trial period included)    ",False,2021-12-22
2021-12-20T18:02:55-0800,https://sfbay.craigslist.org/sfc/lss/d/san-francisco-math-statistics-tutor/7423342715.html,None,San Francisco,San Francisco,sf_bay_area,"Experienced tutor, teacher, and college instructor available for tutoring in algebra, geometry, pre-calculus, International Baccalaureate math, AP Statistics, AP Calculus, AB and BC, college/university Calculus I, II, and III, and linear algebra.Also test preparation including SSAT, ACT, SAT Math, SAT Subject Math 1 and Math 2, and GRE.Familiar with all major teaching approaches, technology, and online platforms. I can help you become tutor-free and mastery-oriented, or overcome obstacles and achieve short-term or long-term goals, even skipping a course.    ",False,2021-12-22
2021-12-20T12:05:20-0800,https://sfbay.craigslist.org/sby/lss/d/sunnyvale-expert-tutor-for-writing/7423205134.html,"[90, 60, 40]",Cupertino,South Bay,sf_bay_area,"Don't wait to get a tutor! This applies to struggling students or brilliant ones, as I can help both achieve their best.Would your student perform better in his or her subjects with a weekly tutor? I am here to help. I am a master tutor with fifteen years of experience bringing out the best of my students. I can help your student improve their English and Math skills, and maximize both learning and grades.I earned a graduate degree from Harvard University, and I specialize adapting my teaching style to each unique student. Additionally, I have lived overseas for five years, and so I have a speciality helping students who have English as a second language (ESL). I also am an expert SAT and ACT tutor.I can help you with the following:ENGLISH: English classes,Writing, Grammar, StyleHISTORY & OTHER LIBERAL ARTS: History, Social Studies, Government, Political Science, etc.MATH: Arithmetic, Fractions, Algebra, Geometry, TrigonometrySCIENCE: Chemistry, Biology, PhysicsIndividualized TutoringEach student is different and I listen carefully so that our sessions are most productive. There is no substitute for one-on-one tutoring.Short Term or Long TermSome students have stayed with me their entire high school career. Others need just a bit of help to complete a difficult assignment. RatesIndividualized tutoring costs $90/hr for in-person or $60/hr for online. (AT LEAST UNTIL MAY  2022 CORONA VIRUS PRICING: $40/hr for online weekdays.) The introductory meeting is free without any obligation. I tutor online or in-person, and I use google docs and a whiteboard program for online students. Online tutoring works very well.NOTE: If your income has been disrupted due to the coronavirus, please indicate the hourly rate you are able to pay. ContactYou can text me or simply reply to this ad and we'll arrange a Zoom meeting.kenaritutor.com    ",True,2021-12-22
2021-12-20T10:48:46-0800,https://sfbay.craigslist.org/eby/lss/d/pleasanton-ivy-league-tutor-sat-act/7423164629.html,None,Dublin / Pleasanton / Livermore,East Bay,sf_bay_area,"Professional full-time tutor available for your tutoring needs. I’m highly experienced with a strong track record of helping students increase grades and test scores. I take pride in bringing out the full academic potential from my students.Contact me (call or text) at 925-386-3440Educational Background:University of Pennsylvania(Undergrad)Harvard University(Grad)ACT 35SAT 1580LSAT 176MCAT 524GRE 334GMAT 790I have 4 years of classroom teaching experience at a public school. I also have 3 years of work experience teaching at a tutoring center. I went on my own and have been doing online and in-person tutoring for the past 4 years.Subjects I tutor: Geometry, Calculus, Algebra, Pre-calculus, Trigonometry, Biology, Physics, Chemistry, Organic Chemistry, Anatomy and Physiology, Psychology, Earth Science, Environmental Science, General Science, English Literature, Language and Writing, AP courses, and History.Tests I tutor:  SAT, ACT, GMAT, GRE, LSAT, MCAT, MAT, GED, ISEE, HSPT, TOEFL, IELTSOther services: Admission counseling, editing resume and cover letters, interview tips, essay writing, writing personal statementsRate: varies depending on location, subject and the type of tutoring selected.Please contact me by responding to this listing with your name and contact number along with the subject or exam you need help with. I’ll get back to you as soon as I can to discuss plans.    ",False,2021-12-22
2021-12-19T19:45:04-0800,https://sfbay.craigslist.org/eby/lss/d/oakland-experienced-math-science-tutor/7422945061.html,None,Oakland,East Bay,sf_bay_area,"Need help with your science or math class(es) final prep, or want extra instruction or review time for a standardized test such as the ACT, AP Bio, or TEAS? I meet with students online and am set up to provide oral and written instruction using either Google Meet or Zoom. I am also willing to meet in an indoor or outdoor setting if we are both masked. I am fully vaccinated + bolstered.I have over 25 years tutoring and teaching experience in all math up to calculus, biology and chemistry and work with middle school, high school, and college students. I earned my Masters in Microbiology from UCB and taught college-level Micro, biotech, and other biology classes for 10 years. I love sharing my knowledge and enthusiasm for math and science and strive to help my students achieve mastery in their work, both in comprehension of complex concepts and in the application of concepts to analysis and problem solving. I would love to help you achieve your academic and/or career goals!High school and middle school subjects include AP/Honors/regular Bio, AP/Honors Chem, geometry, algebra 1/2, trig, and precalc (math analysis). I’m also very versed with CPM IM 1-3 curriculum.College subjects include Microbiology, Nutrition, Biology, chemistry, and all math up to calculus. Test prep for TEAS, ASVAB, ACT, SAT, and SAT Subject tests MATH 1/2, Bio E/M, Chemistry.Competitive rates for an experienced tutor! Current student and/or parent references and reviews on request. If you have classmates that would benefit from in-person, outdoor, social distanced and masked instruction, I offer per student group rates to save you (or your parents) money. ",False,2021-12-22
2021-12-19T14:11:08-0800,https://sfbay.craigslist.org/sby/lss/d/sunnyvale-math-physics-chemistry-tutor/7422854449.html,None,San Jose North,South Bay,sf_bay_area,"Hi Parents & Students!Please call or text me at 647-679-4442 (San Francisco/San Jose) for more information, or to discuss your needs in more detail.I am an expert tutor and have helped students in every Math, Physics, Chemistry, Biology, English, Science, AP, IB, and SAT subject for over 12 years. I am a Certified Teacher and graduated with degrees in Physics, Biochemistry, Mathematics, and Education. Due to COVID-19, I tutor students online through a great virtual platform. If you are interested in meeting in person for tutoring, this is also possible. Feel free to contact me about this. Please read below for more information!My approach:- I tailor each lesson to match each student's learning style.- I am patient, personable, and understanding. I have worked with 40+ different learning types and have mastered how to work with each successfully. Every student is different but the goals are the same – to be successful. I can show them how.- I create detailed lesson notes and assign homework and feedback to ensure tutoring is as effective as possible.Information about what I'm offering:- Tutor all high school Math, Calculus, Science, Physics, Chemistry, Biology, and English courses.- Also Tutor University Calculus & Physics.- Will drive to your home or meet you at a convenient location.- Online lessons are also available.- First hour is free!- Cell: 647-679-4442 (texting is easiest, but feel free to call or leave a voice mail and I'll get back to you the same day).- Both high school and adult students are welcome to call!Information about me:- I am a Certified Senior Mathematics and Sciences Teacher- I have been teaching since 2009- I am fun and energetic in my teaching style!    ",False,2021-12-22
