date_posted,link,price,city,subregion,region,post_text,prices_need_cleaning,posts_scraped_on
2021-12-21T13:30:32-0600,https://chicago.craigslist.org/chc/lss/d/chicago-exceptional-math-tutor/7423602374.html,100,Anywhere In Chicagoland On Zoom,City Of Chicago,chicago,"Tenured math professor at a major university offering virtual math tutoring at any level (high school through grad school). Extensive experience training students for math competitions (including Putnam and IMO). CV available upon request. This is mostly to deal with boredom, so I will not be accepting every inquiry.  $100 per hour (includes a complimentary half hour trial lesson).    ",False,2021-12-23
2021-12-17T12:46:31-0600,https://chicago.craigslist.org/chc/lss/d/chicago-ivy-league-tutor-sat-act-gmat/7422001537.html,None,None,City Of Chicago,chicago,"Professional full-time tutor available for your tutoring needs. I’m highly experienced with a strong track record of helping students increase grades and test scores. I take pride in bringing out the full academic potential from my students.Contact me (call or text) at 773-840-9382Educational Background:University of Pennsylvania(Undergrad)Harvard University(Grad)ACT 35SAT 1580LSAT 176MCAT 524GRE 334GMAT 790I have 4 years of classroom teaching experience at a public school. I also have 3 years of work experience teaching at a tutoring center. I went on my own and have been doing online and in-person tutoring for the past 4 years.Subjects I tutor: Geometry, Calculus, Algebra, Pre-calculus, Trigonometry, Biology, Physics, Chemistry, Organic Chemistry, Anatomy and Physiology, Psychology, Earth Science, Environmental Science, General Science, English Literature, Language and Writing, AP courses, and History.Tests I tutor:  SAT, ACT, GMAT, GRE, LSAT, MCAT, MAT, GED, ISEE, HSPT, TOEFL, IELTSOther services: Admission counseling, editing resume and cover letters, interview tips, essay writing, writing personal statementsRate: varies depending on location, subject and the type of tutoring selected.Please contact me by responding to this listing with your name and contact number along with the subject or exam you need help with. I’ll get back to you as soon as I can to discuss plans.    ",False,2021-12-23
2021-12-15T18:53:53-0600,https://chicago.craigslist.org/nch/lss/d/evanston-lsat-critical-thinking-master/7421321427.html,None,Evanston,North Chicagoland,chicago,"My name in Michan Walsh. I received a 176 on the LSAT in my only administration of the test, which is in the 99.7 percentile, through self study alone. I also achieved numerous record results on AICE/Cambridge Academy and AP scores including the highest US AICE critical thinking score in 2015. As president of the debate and math clubs, I won multiple gavels and math accolades. I work with algorithms as well, another skill which demands critical thinking.With patience and very individual attention, I am an expert in helping students improve their LSAT and other test scores by effectively and efficiently diagramming logic games, carefully breaking down the argument, question, and answer choices in logical reasoning paragraphs, and fully understanding and appreciating reading comprehension essays. My teaching strategy consists mainly of working out real LSAT test sample problems and demonstrating my thought process, clarifying any questions along the way. I am also skilled in helping students develop a set of test-taking strategies to master the test. My students have seen marked improvements in their test and assignment scores. I look forward to helping you achieve your goals! 40$/ hour by Internet",False,2021-12-23
2021-12-15T17:30:26-0600,https://chicago.craigslist.org/chc/lss/d/skokie-math-tutor-college-essay-tutor/7421292150.html,None,Skokie,City Of Chicago,chicago,"Math Tutor-All Grades-All Ages-REASONABLE RATES!!ESL Tutor for all ages that want to learn English.  Reasonable Rates!!All kinds of math including GED, ACT, SAT, and GRE tutoring help.  ALL AGES!Learn all the Common Core Requirements for math subjects.  3rd grade thru college!Math tutoring for professional exams, like plumber, teacher, dental tech, etc. etc.College Essay Tutor, all ages. I can help you write your College Essay.Pre-Kindergarten and Kindergarten workbooks available for tutoring also in addition to the following...….3rd grade thru 8th grade, High School, College, Seniors, Professionals, etc. etc.Basic Arithmetic, Pre-Algebra, Algebra I and II, Geometry, Trig, ACT, SAT, GED. etc.Call me to set time and place. Weekdays, Evenings, Week-ends, Flexible hours.  REASONABLE RATES!!!Call or Text to 1-847-644-9373 between 10 a.m. and 8 p.m. - seven days a week.  Mrs. Lois",False,2021-12-23
2021-12-15T05:01:26-0600,https://chicago.craigslist.org/nch/lss/d/chicago-math-computer-science-test-prep/7420986244.html,35,Chicago,North Chicagoland,chicago,"BlakeTutoring.comOVER 450 5-star reviews on Wyzant & Thumbtack1 hour sessions for only $5730 minute sessions for only $35Text/Call: 724-804-8356Hi, my name is Alexander Blake, and I have been tutoring for over 10,000 hours! I graduated with a Bachelor's in Computer Science from California State University, Fullerton. In my time tutoring, I have tutored elementary through graduate level students.I have successfully prepared students for SAT and ACT Math tests, and up to Calculus level work. In high school, I was in an accelerated math program where I was able to take AP Calculus AB my junior year, and AP Calculus BC my senior year. After taking the AP Calculus AB & BC Exams, I scored a 5 out of 5 on both tests. This allowed me to not only begin my higher-level math courses early in college but has also enabled me to keep my math skills refined, and graduate with a 3.8 GPA.My tutoring philosophy focuses on the individual. I like to know what each of my clients likes to do outside of school so I can relate the math concepts they are learning about things they enjoy doing. To accomplish this, I personally design my lesson plans and customize them to my client's personality. For example, if I have a student that plays basketball, I will have them solve problems that incorporate concepts of basketball, such as finding a team's field goal percentage. By focusing on each person uniquely, I am able to fully understand why the student is not grasping certain concepts and can help them understand concepts and terms they are already familiar with. This is why all of my students have been and will continue to be successful!Math: Algebra I/II, Calculus (AP AB & College Level), Common Core, Geometry, Precalculus, Statistics (AP/College Level), & TrigonometryComputer Science: AP CS A/Principles, C/C++, CSS, HTML, Java, JavaScript, Linux (Bash/Zsh), Python, & SQLTest Preparation: ACT (All Sections), ASVAB, GED, HiSET, & SAT (All Sections)Text/Call: 724-804-8356 ",False,2021-12-23
2021-12-13T10:52:13-0600,https://chicago.craigslist.org/chc/lss/d/chicago-ivy-league-tutor-sat-act-gmat/7420220676.html,None,None,City Of Chicago,chicago,"Professional full-time tutor available for your tutoring needs. I’m highly experienced with a strong track record of helping students increase grades and test scores. I take pride in bringing out the full academic potential from my students.Contact me (call or text) at 773-840-9382Educational Background:University of Pennsylvania(Undergrad)Harvard University(Grad)ACT 35SAT 1580LSAT 176MCAT 524GRE 334GMAT 790I have 4 years of classroom teaching experience at a public school. I also have 3 years of work experience teaching at a tutoring center. I went on my own and have been doing online and in-person tutoring for the past 4 years.Subjects I tutor: Geometry, Calculus, Algebra, Pre-calculus, Trigonometry, Biology, Physics, Chemistry, Organic Chemistry, Anatomy and Physiology, Psychology, Earth Science, Environmental Science, General Science, English Literature, Language and Writing, AP courses, and History.Tests I tutor:  SAT, ACT, GMAT, GRE, LSAT, MCAT, MAT, GED, ISEE, HSPT, TOEFL, IELTSOther services: Admission counseling, editing resume and cover letters, interview tips, essay writing, writing personal statementsRate: varies depending on location, subject and the type of tutoring selected.Please contact me by responding to this listing with your name and contact number along with the subject or exam you need help with. I’ll get back to you as soon as I can to discuss plans.    ",False,2021-12-23
2021-12-08T15:06:10-0600,https://chicago.craigslist.org/chc/lss/d/chicago-ivy-league-tutor-sat-act-gmat/7418248334.html,None,None,City Of Chicago,chicago,"Professional full-time tutor available for your tutoring needs. I’m highly experienced with a strong track record of helping students increase grades and test scores. I take pride in bringing out the full academic potential from my students.Contact me (call or text) at 773-840-9382Educational Background:University of Pennsylvania(Undergrad)Harvard University(Grad)ACT 35SAT 1580LSAT 176MCAT 524GRE 334GMAT 790I have 4 years of classroom teaching experience at a public school. I also have 3 years of work experience teaching at a tutoring center. I went on my own and have been doing online and in-person tutoring for the past 4 years.Subjects I tutor: Geometry, Calculus, Algebra, Pre-calculus, Trigonometry, Biology, Physics, Chemistry, Organic Chemistry, Anatomy and Physiology, Psychology, Earth Science, Environmental Science, General Science, English Literature, Language and Writing, AP courses, and History.Tests I tutor:  SAT, ACT, GMAT, GRE, LSAT, MCAT, MAT, GED, ISEE, HSPT, TOEFL, IELTSOther services: Admission counseling, editing resume and cover letters, interview tips, essay writing, writing personal statementsRate: varies depending on location, subject and the type of tutoring selected.Please contact me by responding to this listing with your name and contact number along with the subject or exam you need help with. I’ll get back to you as soon as I can to discuss plans.    ",False,2021-12-23
2021-12-07T15:33:50-0600,https://chicago.craigslist.org/chc/lss/d/elk-grove-village-math-tutor-available/7417811729.html,"[30, 30, 60, 90]",None,City Of Chicago,chicago,Licensed K-8th Grade teacher (with over 12 years of experience in a 6th-8th Grade public school classroom) offering virtual one-on-one Math tutoring via Zoom to support students with their specific academic needs. Price per session begins at $30. Please contact me for more information and to schedule a free consultation.Session Options/Pricing:Initial Consultation (Free)30-minute session ($30)60-minute session ($60)90-minute session ($90)    ,True,2021-12-23
2021-12-02T06:51:55-0600,https://chicago.craigslist.org/chc/lss/d/chicago-mit-educated-tutor-math-physics/7415372360.html,None,Chicago,City Of Chicago,chicago,"I am a private tutor with four degrees from MIT in physics and electrical engineering and a recipient of the Goodwin Medal, MIT's highest award for excellence in teaching by a graduate student.I have over 15 years of university teaching and private tutoring experience, with students ranging from high school and college through mid-career adults going back to graduate/professional school. Many students rated me as one of the best teachers of any subject they've had. References are available upon request.Both one-on-one and group tutoring are welcomed.SubjectsI have experience teaching the following subjects:Math: SAT/AP/GRE/GMAT/AMC, competition math training, calculus, statistics, probability, linear algebra, and differential equationsPhysics: SAT/AP/MCAT, mechanics, electromagnetism, thermodynamics, and wavesEngineering: signal processing, analog and digital circuits, semiconductor electronics, and control theoryLocationsSkype, Zoom, or other remote online platformRatesRates depend on the subject, length/frequency of sessions, and whether one-on-one or group tutoring, please inquireFirst session is always free of charge ",False,2021-12-23
2021-11-30T13:46:28-0600,https://chicago.craigslist.org/chc/lss/d/chicago-ivy-league-tutor-sat-act-gmat/7414667100.html,None,None,City Of Chicago,chicago,"Professional full-time tutor available for your tutoring needs. I’m highly experienced with a strong track record of helping students increase grades and test scores. I take pride in bringing out the full academic potential from my students.Contact me (call or text) at 773-840-9382Educational Background:University of Pennsylvania(Undergrad)Harvard University(Grad)ACT 35SAT 1580LSAT 176MCAT 524GRE 334GMAT 790I have 4 years of classroom teaching experience at a public school. I also have 3 years of work experience teaching at a tutoring center. I went on my own and have been doing online and in-person tutoring for the past 4 years.Subjects I tutor: Geometry, Calculus, Algebra, Pre-calculus, Trigonometry, Biology, Physics, Chemistry, Organic Chemistry, Anatomy and Physiology, Psychology, Earth Science, Environmental Science, General Science, English Literature, Language and Writing, AP courses, and History.Tests I tutor:  SAT, ACT, GMAT, GRE, LSAT, MCAT, MAT, GED, ISEE, HSPT, TOEFL, IELTSOther services: Admission counseling, editing resume and cover letters, interview tips, essay writing, writing personal statementsRate: varies depending on location, subject and the type of tutoring selected.Please contact me by responding to this listing with your name and contact number along with the subject or exam you need help with. I’ll get back to you as soon as I can to discuss plans.    ",False,2021-12-23
2021-11-30T10:00:25-0600,https://chicago.craigslist.org/chc/lss/d/chicago-math-computer-science-test-prep/7414534111.html,35,Chicago,City Of Chicago,chicago,"BlakeTutoring.comOVER 450 5-star reviews on Wyzant & Thumbtack1 hour sessions for only $5730 minute sessions for only $35Text/Call: 724-804-8356Hi, my name is Alexander Blake, and I have been tutoring for over 10,000 hours! I graduated with a Bachelor's in Computer Science from California State University, Fullerton. In my time tutoring, I have tutored elementary through graduate level students.I have successfully prepared students for SAT and ACT Math tests, and up to Calculus level work. In high school, I was in an accelerated math program where I was able to take AP Calculus AB my junior year, and AP Calculus BC my senior year. After taking the AP Calculus AB & BC Exams, I scored a 5 out of 5 on both tests. This allowed me to not only begin my higher-level math courses early in college but has also enabled me to keep my math skills refined, and graduate with a 3.8 GPA.My tutoring philosophy focuses on the individual. I like to know what each of my clients likes to do outside of school so I can relate the math concepts they are learning about things they enjoy doing. To accomplish this, I personally design my lesson plans and customize them to my client's personality. For example, if I have a student that plays basketball, I will have them solve problems that incorporate concepts of basketball, such as finding a team's field goal percentage. By focusing on each person uniquely, I am able to fully understand why the student is not grasping certain concepts and can help them understand concepts and terms they are already familiar with. This is why all of my students have been and will continue to be successful!Math: Algebra I/II, Calculus (AP AB & College Level), Common Core, Geometry, Precalculus, Statistics (AP/College Level), & TrigonometryComputer Science: AP CS A/Principles, C/C++, CSS, HTML, Java, JavaScript, Linux (Bash/Zsh), Python, & SQLTest Preparation: ACT (All Sections), ASVAB, GED, HiSET, & SAT (All Sections)Text/Call: 724-804-8356 ",False,2021-12-23
2021-11-30T08:56:27-0600,https://chicago.craigslist.org/wcl/lss/d/kenilworth-calculus-diff-eq-adv-math/7414502299.html,None,Online,West Chicagoland,chicago,"My name is Brian Woody and I have over 20 years of experience lecturing college level mathematics and have been the highest rated professor in Nevada for the past 8 straight years (see Rate My Professor's - University of Nevada). I am the best private instructor for advanced mathematics found on the internet. I offer an elite service to a select number of students that want to achieve long-term goals in mathematics. These typically consist of science and engineering undergraduate and graduate students. SERIOUS STUDENTS ONLY!   Woody Calculus Consulting offers private instruction for Calculus (I, II, and III), Differential Equations, Analysis, Abstract Algebra, Number Theory, Field Theory, Galois Theory, Chaos Theory, and other advanced mathematics. Private and Group sessions are currently being held online with great success. Virtual tutoring is efficient and effective. Sessions may be recorded and made available on a private server for no additional charge.I also have over 2,000 Free Videos - tutorials, homework explanations, and study guide solutions at on our website. Google Brian M. Woody or go to BrianWoody dot com and Contact Us there (at Woody Calculus Consulting) or reply here for more information.Call or Text (530) 414-1861",False,2021-12-23
