date_posted;price;city;subregion;region;post_text;posts_scraped_on
2021-12-22T10:13:44-0500;19;Proven Results;Manhattan;new_york;Hi! I am a certified teacher with 7 years experience offering tutoring services. I have a proven track record , and I also work alongside a few other teachers! This is our passion! I help students who are falling behind and may have missing assignments or those who would like to be accelerated in learning to stay above their class! I have private , on one one lessons for only $19 per session! We can get started right away but my schedules fills quickly. Call or text me 404-905-5360I teach all subjects K-12Thanks    ;2021-12-23
2021-12-21T17:59:51-0500;80;Online;Manhattan;new_york;Hi,My name is Todd, a full-time Ivy League graduate, who has over 10 years’ experience tutoring math and standardized test prep.Background:In-depth knowledge and experience tutoring the SAT, ACT, GRE, or GMATStudents have shown significant score increases with our methodology.Hundreds of Glowing References.Provide 1-on-1 Online TutoringWill host meetings on Skype or Zoom I can walk you through the process before our first sessionFree Phone ConsultationFlexible ScheduleMethodology:Analyze the student’s strengths and weaknesses based on previous tests or our administered diagnostic test.Implement a curriculum specifically designed to improve weaknesses and adapt to his/her learning style.Teach students insightful test-taking strategies, problem-solving tactics, and multiple approaches to various problems.Demonstrate how to interpret and approach a wide array of problemsProvide top-notch, thought-out explanations across various content areas.Employ dedicated study skills and time management techniquesPrices:Online Sessions are $80 an hour.If you are interested in receiving more information about tutoring call (347) 337-8578 or email me.Website: www.nyctoptutors.com;2021-12-23
2021-12-21T10:14:13-0500;80;Online;Manhattan;new_york;Hi,My name is Todd. I’m a full-time, Ivy League math and ELA tutor who has over 12 years’ experience.BackgroundI provide 1-on-1 Personalized Online TutoringI host meetings through Skype or Zoom.I can walk you through the process before our first session.Free Phone Consultation6 days availability- Flexible Schedule (off Friday)In-depth knowledge and experience tutoring Grades 3 through Grades 7, Pre-Algebra, Algebra, Geometry, Algebra 2, Trigonometry, Pre-Calculus, Calculus, & Statistics.Students have shown significant improvement with my guidance and methodology.Hundreds of Glowing References.Methodology:Analyze the student’s strengths and weaknesses based on previous tests, quizzes, and homework.Implement a curriculum specifically designed to improve weaknesses and adapt to his/her learning style.Teach students insightful test-taking strategies, problem-solving tactics, and multiple approaches to various problems.Demonstrate how to interpret and approach a wide array of problemsProvide top-notch, thought-out explanations across various content areas.Employ dedicated study skills and time management techniquesPrices:All Online Sessions are $80 an hour.If you are interested in receiving more information about tutoring call (347) 337-8578 or email me.Visit my website at www.nyctoptutors.com    ;2021-12-23
2021-12-20T10:35:25-0500;90;Free 30-Min Trial Lesson;Manhattan;new_york;"Call or Text Ash at (917) 359-9662 to schedule your free trial lesson. Get Accepted into Dream Schools using my 5 Vital Skills to Ace ALL Math Tests!✔️ 8 CORE SHORTCUTS:  These Core Shortcuts will Solve Most Problems In 20 Seconds Flat! ✔️ HIGH-FREQUENCY QUESTIONS:  We'll Provide You with Frequently Asked Questions in Tests. Good News: There are only 7 Main Types ✔️  STUDY|REST|STUDY:  Prep Only with this Technique. You'll Develop Massive Mental Stamina for Long Tests✔️ MENTAL MATH:  Learn this Forgotten Art developed before the Age of Calculators. Reduce Errors. Save Time & Energy✔️ GUESSING MASTERY:  Still Choosing Choice C as a Guess? Our Shockingly Easy Guessing Tactics Will Propel Your Score without Any Extra Studying! RATES$90/hourABOUT MEI'm an energetic math coach who holds dual master’s degrees in Electrical and Financial engineering from Columbia University and has been guiding hundreds of students in Math and Reading since 2008 in New York City and online. TESTIMONIALS FROM SATISFIED CLIENTS(Check out our GOOGLE REVIEWS for even more testimonials)""I am very impressed with the level of patience and methods Ash used to tutor my son. We thought John had no hope of raising his SAT scores above 1300. Ash is an excellent listener and was able to immediately help give tips and suggestions which showed quick results. Our son ended up with a score of 1440! I would highly recommend Ash.""  - Willem S., Parent of SAT student Final SAT Score: 1440 “Ash has tutored our child in high school Algebra and Geometry for the past two years. His calm and caring demeanor has made math less stressful. Ash is a fantastic tutor and person.” – Claudia & Paul D., Queens, NY""Once I contacted Ash late night about a difficulty I had before my SAT exam. He got right back to me with the solution. He has helped me time and again - I primarily struggled with the Reading and Writing sections and now I can tackle those questions so much better. My parents and I truly appreciate his support. Thank you, Ash!""  – Anuj V., Union City, NJ“With Ash’s tutoring sessions, my child has grown in confidence and has a better understanding of AP Calculus concepts being taught in class.  Along with Ash’s excellent teaching skills, he is very organized and reliable. We highly recommend him.” – Cheryl & Kevin M., Brooklyn, NY–Parents of AP Calculus student“Most tutors I’ve had in the past would just sit and watch me do work. Ash goes through questions and teaches me how to approach them and what techniques to use. He is very encouraging and knows how to make me succeed. Best tutor I’ve ever had.” – Vineet R., New York, NYCall or Text Ash at (917) 359-9662 to schedule your free trial lesson.Topics: reading, writing, math, common core, common core math, next generation learning standards, next gen learning standards, homework help, test, exam, state tests, regents, regents prep, sat, sat prep, act, act prep, shsat, shsat prep, math, reading tutor, writing tutor, middle school math,  algebra, algebra 1, algebra 2, algebra regents, geometry, geometry regents, trigonometry, trigonometry regents, pre calculus, calculus, 10th grade, 11th grade, 12th grade, in home tutoring, tutor, tutors, tutoring, at home tutoring, tutoring at home, private tutoring, tutor, math tutor, test prep, sat, act, high school math tutor, reading comprehension, writing tutors, reading tutor, writing tutor, math tutor, math, math tutors tutoring classes, math classes, ela tutor, english tutor, science tutor, science tutors, english classes, sat class, act class, shsat class, homework help, sat tutor, act tutor, shsat tutor, specialized high school admissions test, specialized high school test, shsat, psat, summer tutoring, summer enrichment, summer tutoring, tutoring, tutoring center, tutoring program, tutoring service, tutoring services, tutoring agencies, tutoring companies, tutoring agency, tutoring company, tutoring business, tutoring jobs, math class, english class, science class, math problems, word problems, assignments, projects, summer tutor, summer tutoring, summer enrichment, teacher, teachers, math teacher, english teacher, science teacher, reading teacher, reading tutor, writing teacher, writing tutor, common core, common core learning standards, next generation learning standards, math tutor, english tutor, ela teacher, ela tutor, science tutor, promotion in doubt, special education tutor, special ed, specialized high school test prep, certified teacher, teachers, algebra 1, algebra 2, answer key, textbook, help with algebra, help with geometry, help with trigonometry, help with math, help with science, help with physics, help with earth science, help with chemistry, chemistry tutor, biology tutor, help with living environment, Reading, writing, math, common core, common core math, next generation learning standards, next gen learning standards, test, exam, state tests, regents, regents prep, sat, sat prep, act, act prep, shsat, shsat prep, algebra regents, geometry, geometry regents, trigonometry, trigonometry regents, pre calculus, calculus, math tutor, science tutor, sat tutor, act tutor, shsat tutor, ela tutor, home school, home schooling, Prealgebra, Algebra, Trigonometry, Geometry, Statistics, Precalculus, Calculus, ACT, SAT, LSAT, MCAT, DAT, GMAT, GRE, ASVAB, Grad, Statistics, Finance, Economics, PSAT, PCAT, MCAT, STEM, ap calculus, ab calculus, financial engineering, financial math, Calculus Operations ";2021-12-23
2021-12-19T23:42:05-0500;45;Queens;Queens;new_york;I am a rising senior that attends The Bronx High School of Science, and will be attending Cornell University next year. I received a 800 on SAT Math, and a 770 on SAT English.I am available to teach SAT Math and/or SAT English to any student. I can break down fundamental ideas and concepts skillfully so that the student will be able to fully understand and do great in their class. All of the sessions will be online through Google Meet, Skype, FaceTime, or Zoom-whichever is your preference. The first meeting will be a free 15 minute introductory session where I will give a brief rundown of the curriculum that I have planned. I will also be able to understand what the student needs most and prepare on behalf of that.My price is $45/hour. This is nonnegotiable. To reach me, call or text me at 917-753-9522, and leave a message if I do not answer the call. Texting is preferred. Feel free to email me at the email provided as well. We can talk about scheduling details or about any questions you may have.;2021-12-23
2021-12-19T11:59:06-0500;35;Forest Hills Ny;Queens;new_york;Come one! Come all! I guarantee that you will be happy to learn from me.  I am Veena Agrawal. I have a degree in Mathematics. Math is my special subject and I have a lot of experience tutoring Math to young kids, middle school students, high school students and students taking the engineering tests to be an electrician, TARC, HESI, Regents, ACT, ASVAB, ACT and SAT tests.I would be delighted to help students truly understand the fundamentals of Mathematics including Algebra and Geometry.  I will teach them to do difficult questions by understanding them thoroughly. With a lot of examples, I will teach them to master the subject and be able to solve many different kinds of problems with total ease and confidence. I TUTORED MY SON AND HE GOT A FULL 1600 on his SAT.I live in Forest Hills and the tutoring will be at my home or online on Zoom if you prefer.  My rate is $35 an hour. Please contact me as soon as you can.  My rate to teach at or near your home varies on how far you are from me. Please call or text me at 917 7035566. Thanks.;2021-12-23
2021-12-18T12:34:13-0500;80;Online;Manhattan;new_york;Hi,My name is Todd.  I’m a full-time, Ivy League math and ELA tutor who has over 12 years’ experience.BackgroundI provide 1-on-1 Personalized Online TutoringI host meetings through Skype or Zoom.I can walk you through the process before our first session.Free Phone Consultation6 days availability- Flexible Schedule (off Friday)In-depth knowledge and experience tutoring Grades 3 through Grades 7, Pre-Algebra, Algebra, Geometry, Algebra 2, Trigonometry, Pre-Calculus, Calculus, & Statistics.Students have shown significant improvement with my guidance and methodology.Hundreds of Glowing References.Methodology:Analyze the student’s strengths and weaknesses based on previous tests, quizzes, and homework.Implement a curriculum specifically designed to improve weaknesses and adapt to his/her learning style.Teach students insightful test-taking strategies, problem-solving tactics, and multiple approaches to various problems.Demonstrate how to interpret and approach a wide array of problemsProvide top-notch, thought-out explanations across various content areas.Employ dedicated study skills and time management techniquesPrices:All Online Sessions are $80 an hour.If you are interested in receiving more information about tutoring call (347) 337-8578 or email me.Visit my website at www.nyctoptutors.com;2021-12-23
2021-12-17T21:26:50-0500;69.66666666666667;Greenwich Village;Manhattan;new_york;"Learn better, faster - and have more fun doing it!Experienced Teaching Professional-----------------------------------------------I have been pursuing continual learning and teaching since graduating college, tutoring full time since 2017 and part time since 2008. I have always had a passion for learning, but I fell in love with teaching in high school. I have been loving it ever since: now I have over 12 years of tutoring experience with 300+ students. I've tutored for a number of professional organizations (e. g. https://www.gradepotentialtutoring.com, http://www.stemivy.com, Walnut Hills Alumni Association, OSU Young Scholar Program to name a few) but I now do most of my tutoring privately.I teach a wide variety of subjects and students of all ages: engineering students, college students in multivariable calculus and calc-based physics (my favorites), grade school students with ADHD, high school students in AP classes or ACT/SAT prep, etc.My focus is developing an understanding from the deepest roots of a concept to its sun and sky. I do NOT preach memorization or repetition. My students tell me that I’m easy to get along with, and always have a new way to explain an idea that isn't making sense. I consistently see a significant improvement in my students’ grades - part of what makes my job so satisfying! I am passionate about making learning as easy and enjoyable as possible.Proven Academic Success---------------------------------------I received a full scholarship to University of Cincinnati and held a 3.8 GPA through my master’s program in aerospace and mechanical engineering, graduating magna cum laude.-99th percentile score on PSAT, SAT, and ACT-Awarded the National Merit Scholarship-35/36 ACT Math, 36/36 ACT Science-5/5 on the AP Calculus BC and AP Physics C exams-Ranked in state math and science competitionsI have helped countless students to exceed their own expectations with their grades and test scores. I can help beyond just knowing the material, but with strategies and time management techniques to test with confidence.The Tutoring Experience--------------------------------I use a fantastic free whiteboard website (check out “bitpaper”) along with an artist tablet that allows me to write and draw.It's super easy:Snap screenshots or pictures of your assignment or study materialsDrag and drop onto the whiteboardWe video or audio chat while we write, draw, graph and collaborate on solutions. All of our notes are autosaved, organized, and available to you forever.Rates and Scheduling-------------------------------I offer lower hourly rates for longer sessions:1 hour 20 min-------$1001 hour 40 min-------$1152 hours---------------$130>2 hours-------------$65/hrTake $30 off your first session, and $60 off when you refer a new student to me. If you are not satisfied with the quality of help you receive, it's free. I prefer communication by call or text, but email is fine too. Let me know if I can help you!! Please feel free to ask me for student and teacher references!Reviews------------""Eric is very knowledgeable, has been able to connect our daughter to the material in a way that makes her excited to be learning, and has a GREAT attitude! In other words - the perfect tutor! If you hire him he'll reset the bar for what a tutor can be.""-Andreas D.""My tutoring experience with Eric has been great. He’s very knowledgeable and patient. I felt very comfortable with him and he knows how to explain math in plenty of ways to make it easy to understand. Math has always been the most difficult subject for me, but when I met Eric I gained a better understanding and my first ever A on my final exam!""-Teonna C.""Eric was my student in high school. He was the top student in the most demanding math course we offered at the time: AP Calculus BC. Not only was he a brilliant and diligent student, he also took first place in our math team competition. Eric is dependable, caring and well liked. He has the personality and intelligence to do absolutely anything he wants. Kids will love his energy and sense of humor. Students seeking help will be hard pressed to find a better candidate.""-Susan C.--------------------------------------------------------Even if you don't see your subject listed here - ask me about help with your university graduate or undergraduate engineering, math, or science courses.--------------------------------------------------------Keywords:science algebra statistics chemistry geometry pre-calculus precalculus precalc pre-algebra electricity and magnetism E&M circuits statics dynamics vectors mechanics polar cylindrical integrals derivatives trig trigonometry 1 calc 2 3 I II III A B C AB BC senior junior sophomore freshman 12th grader 11th grade 10th 9th advanced placement test exam university college private teacher one-on-one school helpCommunity CollegesBorough of Manhattan Community CollegeBronx Community CollegeGuttman Community CollegeHostos Community CollegeKingsborough Community CollegeLaGuardia Community CollegeQueensborough Community College4-Year CollegesBaruch CollegeBrooklyn CollegeCity College of New YorkCollege of Staten IslandHunter CollegeJohn Jay College of Criminal JusticeLehman CollegeMedgar Evers CollegeNew York City College of TechnologyQueens CollegeYork CollegeHonors CollegeCUNY William E. Macaulay Honors CollegeGraduate CollegesCUNY Graduate CenterCUNY Graduate School of JournalismCUNY School of LawCUNY School of MedicineCUNY School of Professional StudiesCUNY School of Public HealthState University of New YorkFashion Institute of TechnologySUNY College of OptometrySUNY Downstate Medical CenterSUNY Empire State College (The Harry Van Arsdale Jr. Center for Labor Studies)SUNY Maritime CollegePrivate InstitutionsAlbert Einstein College of MedicineAmerican Academy of Dramatic ArtsAmerican Academy McAllister InstituteAmerican Musical and Dramatic AcademyASA CollegeBank Street College of EducationBard College Graduate CenterBarnard CollegeBerkeley CollegeBoricua CollegeBrooklyn Law SchoolChristie's EducationCollege of Mount Saint VincentColumbia UniversityTeachers CollegeUnion Theological SeminaryColumbia University School of General StudiesCooper UnionCornell UniversityCornell NYC TechWeill Cornell Graduate School of Medical SciencesWeill Cornell Medical CollegeDeVry UniversityKeller Graduate School of ManagementFordham UniversityFrank G. Zarb School of Business at Hofstra University[1]General Theological SeminaryGerstner Sloan Kettering Graduate School of Biomedical ScienceHebrew Union CollegeHelene Fuld College of NursingIcahn School of Medicine at Mount SinaiJewish Theological Seminary of AmericaThe Juilliard SchoolThe King's CollegeLaboratory Institute of MerchandisingLong Island Business Institute - FlushingLong Island UniversityMandl College of Allied HealthManhattan CollegeManhattan School of MusicMarymount Manhattan CollegeMercy CollegeMetropolitan College of New YorkMonroe CollegeThe New SchoolEugene Lang College The New School for Liberal ArtsThe New School College of Performing ArtsThe Schools of Public Engagement at The New SchoolThe New School for Social ResearchParsons School of DesignNew York Academy of ArtNew York Conservatory for Dramatic ArtsNew York Film AcademyNew York Graduate School of PsychoanalysisNew York Institute of TechnologyNew York Law SchoolNew York School of Interior DesignNew York Theological SeminaryNew York UniversityGallatin School of Individualized StudyNew York University Polytechnic School of EngineeringNew York University School of LawNew York University School of MedicineTisch School of ArtsNyack CollegePace UniversityPacific College of Oriental MedicinePhillips Beth Israel School of NursingPlaza CollegePratt InstituteRabbi Isaac Elchanon Theological SeminaryRichard Gilder Graduate School - American Museum of Natural HistoryRockefeller UniversitySchool of American BalletSchool of Visual ArtsSt. Francis CollegeSt. John's UniversityNew Brunswick Theological SeminarySt. Joseph's CollegeSotheby's Institute of ArtSwedish Institute of Massage TherapyTouro CollegeVaughn College of Aeronautics & TechnologyWagner CollegeYeshiva UniversityBenjamin N. Cardozo School of LawBronx High School Of Science Syosset Stuyvesant Queens High School For The Sciences At York College Scarsdale Senior High School Of American Studies At Lehman College Townsend Harris Bronxville Staten Island Technical Horace Greeley Staten";2021-12-23
2021-12-17T15:56:25-0500;80;Online;Manhattan;new_york;Hi,My name is Todd, a full-time Ivy League graduate, who has over 10 years’ experience tutoring math and standardized test prep.Background:In-depth knowledge and experience tutoring the SAT, ACT, GRE, or GMATStudents have shown significant score increases with our methodology.Hundreds of Glowing References.Provide 1-on-1 Online TutoringWill host meetings on Skype or ZoomI can walk you through the process before our first sessionFree Phone ConsultationFlexible ScheduleMethodology:Analyze the student’s strengths and weaknesses based on previous tests or our administered diagnostic test.Implement a curriculum specifically designed to improve weaknesses and adapt to his/her learning style.Teach students insightful test-taking strategies, problem-solving tactics, and multiple approaches to various problems.Demonstrate how to interpret and approach a wide array of problemsProvide top-notch, thought-out explanations across various content areas.Employ dedicated study skills and time management techniquesPrices:Online Sessions are $80 an hour.If you are interested in receiving more information about tutoring call (347) 337-8578 or email me.Website: www.nyctoptutors.com    ;2021-12-23
2021-12-16T11:11:10-0500;40;Online;Manhattan;new_york;★★ College Math Tutor★ Calculus I ,II & III, AP Calculus AB/BC , Trig, College Algebra, College Statistics, Linear Algebra, ODEWebsite :www.collegemathcourses.comYouTube :(Under Construction)https://www.youtube.com/channel/UCqhFZRmUqOAAPMQpo58TV7g★★All tutoring is done by One Tutor. ★★Elementary Statistics and ProbabilityIntroduction to Statistical ReasoningProbability and StatisticsMathematical StatisticsPre-AlgebraIntermediate AlgebraCollege Algebra/Algebra 1/Algebra 2GeometryTrigonometry (Trig)Finite MathematicsPre-Calculus /Math AnalysisCalculus I , II and IIIVector CalculusIntroduction Linear Algebra (Matrix)Finite Mathematics===For Engineering students ========================Advanced CalculusDifferential and Integral CalculusMultiple Variable CalculusApplied Statistics and Probability for EngineersComplex NumbersDifferential EquationEngineering Analysis===For MBA and EMBA students ====================Business StatisticsBusiness CalculusIntroduction to Statistical ReasoningOperational ResearchOptimizationQuantitative AnalysisDecision AnalysisManagement ScienceLinear ProgrammingTransportation ProblemsExcel TableauMathematics and PoliticsProject ManagementTest PreparationSATCBEST, CSET I, II and III (MATHEMATICS for HS and Middle school Teachers)GRE MATHGMAT MATHAP Calculus AB and BCAP StatisticsGraphing Calculation helpHourly Rate : Depending on the subject: ==== Most Math/Stats Subjects $40/hr ================= ★★ $40/hr ★★ ====================================Assignment Help, Homework Help -Step by Step Solutions Rate : $40/hr================================================================================== ★★ $40/hr ★★ =========================================Zoom 1-on-1 tutoring : $40/hr====================================================================★ I can help students with their homework assignments , projects, and prepare for the Exams★★ I will forward you a PDF file of the notes and problems solved during the tutoring session if needed★==★★ Exp University Level Math Tutor (MS Applied Mathematics, MS Applied Statistics and MS Aerospace Engineering) ★★ ================ ★★ ★★ =======================================GRE MATH (My GRE MATH Score : 800/800)============================================================★★ You're not paying for the hours or minutes but for Education, Knowledge and Experience ★★★★★★★★ Text/ Email Preferred (Text for a Faster Response ) ★★★★★★============================================================================Keywords: High School, Middle School, College, University, Home school, Online Help, Google Drive, Zoom, Screen share, whiteboard, , Graphing Calculator Help, Consultation, STEM, Excel, statcrunch, F201, MBA 626, QUMS 505, BUAD 310 (USC), QBUS 215, MATH 227, QMS 321, IS 310 (CSULB), QMS 423, BUS 14A, BUS 14B, Pre-Calculus MATH 1 (UCLA), Introduction to Statistical Reasoning STATISTICS 10 (UCLA), MATH 8 (SMC), MATH 31A (UCLA), MATH 112, MATH 120, MATH 102 (LMU), MATH 142, MATH 241/242, STAT 015, STAT 050, MATH 10, MAT 191, MAT 192, MAT 131, MAT 321, MAT 421, MAT 131, MAT 323, MAE 505, PPD 502X, Psych 210, Psy 3307 , MA-336 (CUNY), MA-114 (CUNY), MA-119 (CUNY) , MA-441 (CUNY), MA-442 (CUNY), MA-440(CUNY), MA-261 (CUNY), MA-121 (CUNY), MA-120 (CUNY), MA-10 (CUNY), MATH 2 (UCSD), MATH 3C (UCSD), MATH 4C (UCSD), MATH 10A (UCSD), MATH 10B (UCSD), MATH 20A (UCSD), MATH 20B (UCSD), MATH 20C (UCSD), MATH 20D (UCSD), MATH 11 (UCSD), MATH 2 (UCSD),Math 165 (El Camino), Math12400,.....(SMC) Math 1, Math 2, Math 2C, Math 3, Math 3C, Math 4, Math 4C, Math 7, Math 8, Math 15, Math 18, Math 20, Math 21C, Math 26, Math 26C, Math 28, Math 29, Math 31, Math 32, Math 41, Math 50, Math 54,Math 54C,Math 81,Math 84,Math 85 (SMC)(SBCC) MATH 114, MATH 117, MATH 110C, MATH 130C, MATH 131, MATH 137,, MATH 138, MATH 150C, MATH 160C, MATH 138, MATH 150, MATH 160, MATH 200, MATH 220 (SBCC), MATH 124, MATH 1040 (Honors), MATH G160, MAT 241 ( Calculus 3/ Chicago/Illinois)Calculus II :Integration by PartsConvergence TEST & Divergence TESTAbsolutely ConvergentConditionally ConvergentGeometric Seriesp-SeriesDirect ComparisonLimit ComparisonRatio TestRoot TestIntegral TestAlternating SeriesCalculus III3D Coordinate SystemsVector FunctionsPartial DerivativesMaximum and Minimum Values (With constraints)Multiple IntegralsVector CalculusLine IntegralsSurface IntegralsApplications (Calculus 1, 2 and 3)College Statistics :Elasticity, ANOVA, Z , t , Normal, Poisson, Binomial, Exponential, Uniform, Negative Binomial, Hyper-geometric distributions , Trigonometry, Integration, Integration by Parts, Differentiation, derivative , Theory of Voting, Majority Rule, Voting Methods, Voting Power, Minimum Spanning tree , Shortest path, spanning tree , PERT, CPM, ALEKS, Cengage ,Canvas, MyMathLab , MyStatLab ,Pearson , Wiley , Brightspace, MyOpenMath, Connect,Webwork. ConnectMath, StraighterLine , Statcrunch ,WebAssign , Lumenohm. etcdo NOT contact me with unsolicited services or offers    ;2021-12-23
