date_posted,link,price,city,subregion,region,post_text,prices_need_cleaning,posts_scraped_on
2021-12-23T07:47:26-0800,https://sacramento.craigslist.org/lss/d/sacramento-math-physics-and-chemistry/7424283855.html,60,Sacramento,None,sacramento,"Serving all of the Sacramento area in Facetime and Zoom tutoring*Math*Physics*Chemistry*Algebra*Geometry*Pre-Calc*Calculus*Thermodynamics*Statics, Dynamics*Fluid Mechanics*Several other Engineering courses| ----- My Educational Background and Experience ----- |Dos Pueblos Engineering Academy Class of 2008.Cal Poly Mechanical Engineering BS 2013.Have my Fundamentals of Engineering Certificate in Mechanical Engineering.*AP Physics-Score 5*AP Chemistry-Score 5*AP Calc*4 Calc Classes at Cal Poly*2 Linear Analysis at Cal Poly| ----- Rate ----- |$60/hr and 1 hour minimum sessions. 24 hour cancellation policy: If you cancel within 24 hours, you will be charged for 1 hour and I will credit you 1 hour next session.Please text to schedule. 805-705-five7two1. Include your name and 2 example photos of problems from the class.-Rick    ",False,2021-12-23
2021-12-20T13:36:10-0800,https://sacramento.craigslist.org/lss/d/sacramento-math-tutor-all-levels-of-math/7423248511.html,None,Sacramento,None,sacramento,"Hi,My name is Sara and I have been tutoring math for over 8 years now. I tutor all levels of math and am very good at explaining concepts and making math easy for my students. I tutor from elementary to University Calculus and even business owners who want to freshen up their math.My students see improvements as soon as after 2 or 3 sessions. I track my student's progress and make sure they receive A's in the subject. I love building relationship with my students and their parents and have had many students for years. They feel comfortable and find it fun to learn with me.I have a Bachelor and Master's degree in mechanical engineering California State university of Long Beach. I love helping other and seeing them succeed. That's the main reason why I tutor :)Please feel free to call, text or e-mail if you have any questions or would like to schedule a tutoring session appointment. I use Idroo whiteboard tool.Thank you,Sara*math tutor*math tutor online*online math tutor* free math tutor * math and science * science tutor * math and physics * math tutor Los Angeles * math tutor Long Beach * math tutor Santa Monica * college math * CSU Long Beach",False,2021-12-23
2021-12-17T09:24:12-0800,https://sacramento.craigslist.org/lss/d/rancho-cordova-online-or-in-person/7421956723.html,None,Remote Or In-Person For Sacramento Area,None,sacramento,"The health and safety of students and their families are my number one priority. In addition to practicing safety measures such as masks, 6ft distance, and regular hand-washing, I am fully vaccinated against COVID-19 (2 regular plus booster shot). Besides in-person tutoring, I am offering remote tutoring using Zoom (or Gotomeeting) teleconference with virtual whiteboard, audio and video chat for those who are interested. The initial setup is straight-forward and I will walk you through the entire process. The same quality instruction and improved student performance are expected for both my on-line and in-person offerings. About Me:Hello! I am a professional with a degree in Biochemistry from UC Santa Barbara, currently working for an established pharmaceutical company in the Sacramento region. I had extensive experience in the university tutoring office working with students of all different levels, from those who are struggling with the foundation materials, to advanced individuals seeking to reach the next level. I continue to hone my instructional skills on the job as Subject Matter Expert providing technical and/or quality training to colleagues in the organization, and as tutor on subjects from HS Algebra, English, SAT, ASVAB, AP Math, AP Bio, AP Chemistry, AP Statistics classes to college Calculus, Physics I-II, Chemistry, Biochemistry, Biology, Physiology/Anatomy.When it comes to teaching philosophy, I believe that all students deserve personalized instructions to find the joy in learning. It is a fundamental part of my job to deeply engage the student and to understand their strengths, weaknesses and expectations. Throughout the session, I constantly re-calibrate my instructional approach based on their current needs and future goals. I can certainly work with the student on the immediate assignments due the morning after, but for the best, and enduring outcome, both of the tutee and I need time to build the right foundation for success.Tutoring Subjects:High School – All levels Math (Trigonometry, Geometry, Algebra, Calculus, Statistics), All levels of Science Subjects (Physics – Chemistry – Biology – General Science), AP classes, SAT preparation, ASVAB preparation.College – Calculus, Physics I-III, Chemistry (General and Organic), Biology, Biochemistry, Anatomy, Physiology GRE preparation.Availability and Location:On-Line: Pick a time of your choosing after 4PM PST. I am using the latest technology combining virtual white board, with audio and video chat for clear step-wise instruction. Refer to the image for example screenshot of the virtual white board.Weekday: anytime after 4PM along the Hwy 50 and Hwy 99 and Fwy 5 corridor from Folsom, Rancho Cordova to Sacramento and Elk Grove.Weekend: anytime between 9AM and 6PM around Elk Grove area is best.Rate (based on 1 tutee):-Free initial phone or in-person consultation-40 per hour for session lasting more than 1 hour, for example: 67 for a 1.5hr session.-45 per hour for session lasting 1 hour.Additional discount is available for long-term assignment.-Payment method: cash, Venmo, Zelle or Paypal.Contact Info: please use the contact option from Craigslists or nine 0ne six- six six seven - 0ne six (z)cero seven to discuss further. My professional resume is available upon request.Thank you for reading this, and I am looking forward to working with you and/or your student.Best regards.    ",False,2021-12-23
2021-12-15T19:06:08-0800,https://sacramento.craigslist.org/lss/d/sacramento-math-tutor-all-levels-of-math/7421357628.html,None,Sacramento,None,sacramento,"Hi,My name is Sara and I have been tutoring math for over 8 years now. I tutor all levels of math and am very good at explaining concepts and making math easy for my students. I tutor from elementary to University Calculus and even business owners who want to freshen up their math.My students see improvements as soon as after 2 or 3 sessions. I track my student's progress and make sure they receive A's in the subject. I love building relationship with my students and their parents and have had many students for years. They feel comfortable and find it fun to learn with me.I have a Bachelor and Master's degree in mechanical engineering California State university of Long Beach. I love helping other and seeing them succeed. That's the main reason why I tutor :)Please feel free to call, text or e-mail if you have any questions or would like to schedule a tutoring session appointment. I use Idroo whiteboard tool.Thank you,Sara*math tutor*math tutor online*online math tutor* free math tutor * math and science * science tutor * math and physics * math tutor Los Angeles * math tutor Long Beach * math tutor Santa Monica * college math * CSU Long Beach",False,2021-12-23
2021-12-14T08:44:32-0800,https://sacramento.craigslist.org/lss/d/sacramento-math-computer-science-test/7420660833.html,35,Sacramento,None,sacramento,"BlakeTutoring.comOVER 450 5-star reviews on Wyzant & Thumbtack1 hour sessions for only $5730 minute sessions for only $35Text/Call: 724-804-8356Hi, my name is Alexander Blake, and I have been tutoring for over 10,000 hours! I graduated with a Bachelor's in Computer Science from California State University, Fullerton. In my time tutoring, I have tutored elementary through graduate level students.I have successfully prepared students for SAT and ACT Math tests, and up to Calculus level work. In high school, I was in an accelerated math program where I was able to take AP Calculus AB my junior year, and AP Calculus BC my senior year. After taking the AP Calculus AB & BC Exams, I scored a 5 out of 5 on both tests. This allowed me to not only begin my higher-level math courses early in college but has also enabled me to keep my math skills refined, and graduate with a 3.8 GPA.My tutoring philosophy focuses on the individual. I like to know what each of my clients likes to do outside of school so I can relate the math concepts they are learning about things they enjoy doing. To accomplish this, I personally design my lesson plans and customize them to my client's personality. For example, if I have a student that plays basketball, I will have them solve problems that incorporate concepts of basketball, such as finding a team's field goal percentage. By focusing on each person uniquely, I am able to fully understand why the student is not grasping certain concepts and can help them understand concepts and terms they are already familiar with. This is why all of my students have been and will continue to be successful!Math: Algebra I/II, Calculus (AP AB & College Level), Common Core, Geometry, Precalculus, Statistics (AP/College Level), & TrigonometryComputer Science: AP CS A/Principles, C/C++, CSS, HTML, Java, JavaScript, Linux (Bash/Zsh), Python, & SQLTest Preparation: ACT (All Sections), ASVAB, GED, HiSET, & SAT (All Sections)Text/Call: 724-804-8356 ",False,2021-12-23
2021-12-13T23:47:24-0800,https://sacramento.craigslist.org/lss/d/davis-math-tutorall-levelscollege/7420537280.html,None,Online,None,sacramento,"Finally understand Math! If you are a College, high school or adult student struggling in your ""in person"" or online math class, reach out today. Math Nuts also helps with college placement (Accuplacer) tests. Call/text ONLINE Math Nuts (303) 522-6222.You can get higher scores when you actually “get it” and can do the math on your own!ZOOM tutoring enables us to share a whiteboard interactively. I am virtually with you to explain your math problems, as we share our screens, and see each others' annotations when we write on the screen.Having taught math classes at RED ROCKS COMMUNITY COLLEGE since 2008, I also tutored in their math lab through 2019. Results are proven, and other professors recommend Math Nuts.Go see our reviews on Facebook dot com/mathnuts, and search Math Nuts Limited on Google. You will be encouraged!Levels taught: Basic math, Algebra 1 and 2, College Algebra, Geometry, Trig, Pre-Calc, Calculus 1, 2, 3, Statistics, other advanced levels, as well as Physics. Packages are offered for standardized tests: SAT, ACT, GED, GRE, Hesi, Praxis, ASVAB and more.Call or text (303) 522-6222 today to schedule an appointment.Thank you,Sarah 🙂    ",False,2021-12-23
2021-12-13T15:19:53-0800,https://sacramento.craigslist.org/lss/d/sacramento-math-tutor-all-levels-of-math/7420421233.html,None,Sacramento,None,sacramento,"Hi,My name is Sara and I have been tutoring math for over 8 years now. I tutor all levels of math and am very good at explaining concepts and making math easy for my students. I tutor from elementary to University Calculus and even business owners who want to freshen up their math.My students see improvements as soon as after 2 or 3 sessions. I track my student's progress and make sure they receive A's in the subject. I love building relationships with my students and their parents and have had many students for years. They feel comfortable and find it fun to learn with me.I have a Bachelor's and Master's degree in mechanical engineering from the California State University of Long Beach. I love helping others and seeing them succeed. That's the main reason why I tutor :)Please feel free to call, text or e-mail if you have any questions or would like to schedule a tutoring session appointment. I use the Idroo whiteboard tool.Thank you,Sara*math tutor*math tutor online*online math tutor* free math tutor * math and science * science tutor * math and physics * math tutor Los Angeles * math tutor Long Beach * math tutor Santa Monica * college math * CSU Long Beach",False,2021-12-23
2021-12-13T13:59:40-0800,https://sacramento.craigslist.org/lss/d/sacramento-math-tutor-all-levels-of-math/7420385837.html,None,Sacramento,None,sacramento,"Hi,My name is Sara and I have been tutoring math for over 8 years now. I tutor all levels of math and am very good at explaining concepts and making math easy for my students. I tutor from elementary to University Calculus and even business owners who want to freshen up their math.My students see improvements as soon as after 2 or 3 sessions. I track my student's progress and make sure they receive A's in the subject. I love building relationship with my students and their parents and have had many students for years. They feel comfortable and find it fun to learn with me.I have a Bachelor and Master's degree in mechanical engineering California State university of Long Beach. I love helping other and seeing them succeed. That's the main reason why I tutor :)Please feel free to call, text or e-mail if you have any questions or would like to schedule a tutoring session appointment. I use Idroo whiteboard tool.Thank you,Sara*math tutor*math tutor online*online math tutor* free math tutor * math and science * science tutor * math and physics * math tutor Los Angeles * math tutor Long Beach * math tutor Santa Monica * college math * CSU Long Beach",False,2021-12-23
2021-12-12T01:44:52-0800,https://sacramento.craigslist.org/lss/d/sacramento-enthusiastic-public-ivy/7419725268.html,None,Sacramento//Surrounding,None,sacramento,Experienced & Passionate Tutor Can Help You With The Following Subjects:BiologySpanishAll English SubjectsGrammarESLEssay-WritingBasic MathAlgebra IAlgebra IISAT/ACT/GRE Test Prep (All Test Subjects)Pre-CalcCalc I-IIStatisticsPlenty of references to share. I conduct lessons online via Zoom and I share the recording AND our PDF we create after each lesson (if parent and/or pupil are interested in either/both).You won't be disappointed. I have experience working with all ages and demographics. We will get A TON accomplished at each lesson as I keep a solid pace and I am encouraging and helpful.    ,False,2021-12-23
2021-12-08T15:46:25-0800,https://sacramento.craigslist.org/lss/d/sacramento-math-tutor-all-levels-of-math/7418319596.html,None,Sacramento,None,sacramento,"Hi,My name is Sara and I have been tutoring math for over 8 years now. I tutor all levels of math and am very good at explaining concepts and making math easy for my students. I tutor from elementary to University Calculus and even business owners who want to freshen up their math.My students see improvements as soon as after 2 or 3 sessions. I track my student's progress and make sure they receive A's in the subject. I love building relationship with my students and their parents and have had many students for years. They feel comfortable and find it fun to learn with me.I have a Bachelor and Master's degree in mechanical engineering California State university of Long Beach. I love helping other and seeing them succeed. That's the main reason why I tutor :)Please feel free to call, text or e-mail if you have any questions or would like to schedule a tutoring session appointment. I use Idroo whiteboard tool.Thank you,Sara*math tutor*math tutor online*online math tutor* free math tutor * math and science * science tutor * math and physics * math tutor Los Angeles * math tutor Long Beach * math tutor Santa Monica * college math * CSU Long Beach",False,2021-12-23
