date_posted;price;city;subregion;region;post_text;posts_scraped_on
2021-12-23T07:47:26-0800;60;Sacramento;None;sacramento;Serving all of the Sacramento area in Facetime and Zoom tutoring*Math*Physics*Chemistry*Algebra*Geometry*Pre-Calc*Calculus*Thermodynamics*Statics, Dynamics*Fluid Mechanics*Several other Engineering courses| ----- My Educational Background and Experience ----- |Dos Pueblos Engineering Academy Class of 2008.Cal Poly Mechanical Engineering BS 2013.Have my Fundamentals of Engineering Certificate in Mechanical Engineering.*AP Physics-Score 5*AP Chemistry-Score 5*AP Calc*4 Calc Classes at Cal Poly*2 Linear Analysis at Cal Poly| ----- Rate ----- |$60/hr and 1 hour minimum sessions. 24 hour cancellation policy: If you cancel within 24 hours, you will be charged for 1 hour and I will credit you 1 hour next session.Please text to schedule. 805-705-five7two1. Include your name and 2 example photos of problems from the class.-Rick    ;2021-12-23
2021-12-14T08:44:32-0800;57;Sacramento;None;sacramento;BlakeTutoring.comOVER 450 5-star reviews on Wyzant & Thumbtack1 hour sessions for only $5730 minute sessions for only $35Text/Call: 724-804-8356Hi, my name is Alexander Blake, and I have been tutoring for over 10,000 hours! I graduated with a Bachelor's in Computer Science from California State University, Fullerton. In my time tutoring, I have tutored elementary through graduate level students.I have successfully prepared students for SAT and ACT Math tests, and up to Calculus level work. In high school, I was in an accelerated math program where I was able to take AP Calculus AB my junior year, and AP Calculus BC my senior year. After taking the AP Calculus AB & BC Exams, I scored a 5 out of 5 on both tests. This allowed me to not only begin my higher-level math courses early in college but has also enabled me to keep my math skills refined, and graduate with a 3.8 GPA.My tutoring philosophy focuses on the individual. I like to know what each of my clients likes to do outside of school so I can relate the math concepts they are learning about things they enjoy doing. To accomplish this, I personally design my lesson plans and customize them to my client's personality. For example, if I have a student that plays basketball, I will have them solve problems that incorporate concepts of basketball, such as finding a team's field goal percentage. By focusing on each person uniquely, I am able to fully understand why the student is not grasping certain concepts and can help them understand concepts and terms they are already familiar with. This is why all of my students have been and will continue to be successful!Math: Algebra I/II, Calculus (AP AB & College Level), Common Core, Geometry, Precalculus, Statistics (AP/College Level), & TrigonometryComputer Science: AP CS A/Principles, C/C++, CSS, HTML, Java, JavaScript, Linux (Bash/Zsh), Python, & SQLTest Preparation: ACT (All Sections), ASVAB, GED, HiSET, & SAT (All Sections)Text/Call: 724-804-8356 ;2021-12-23
2021-12-06T11:30:33-0800;30;Sacramento;None;sacramento; MATH TUTORING  Call or Text (530) 645-3554 or go to bestmathtutoring.com for more info. ONLINE TUTORING AVAILABLE! ALGEBRA 1 and 2STATISTICS (Intro and Advanced)CALCULUS 1 and 2BUSINESS MATHFINANCEACCOUNTING  GEOMETRY TRIGONOMETRY MyMathLab EXCEL SPSSSTATCRUNCHSTATISTICAL CALCULATORS AND SOFTWARE  + MORE... Call or Text (530) 645-3554 to schedule a session or go to bestmathtutoring.comI have over 10 years of experience tutoring Math. People consistently use my services to pass their math class! I charge $25/hr if we meet near CSUS.  $35/hr if I go to you. Online tutoring is $20/hr ;2021-12-23
2021-12-05T21:53:04-0800;60;None;None;sacramento;Qualified Middle School teacher (licensed in both California and Hawai'i- with over 12 years of experience) offering virtual one-on-one Math tutoring via Zoom to support students with their specific academic needs. Price per session begins at $30. Please contact me for more information and to schedule a free consultation.Session Options/Pricing:Initial Consultation (Free)30-minute session ($30)60-minute session ($60)90-minute session ($90);2021-12-23
2021-12-04T17:52:32-0800;55;Sacramento;None;sacramento;Hello:If you feel that you need support in preparing for an exam in Nursing/Pre-nursing Math and Dosage Calculations, I can help you through providing you with high yield problems, together with solutions and discussions, pertinent to the exam that you are preparing for. This is a targeted approach, quite different from tutoring. I will be presenting to you material that I think you should know very well before you sit for your exam. This can be done by:1) meeting in person, if you are in the Fresno area.2) zoom sessions if you are not in the Fresno area, or you are, but you prefer not meeting in person.3) sending you the problems with solutions and discussions as e-mail attachments. If you opt for zoom sessions, it will include a presentation/discussion using a hand-held white board. But to make the session most effective, I will still send you the problems with solutions and discussions as e-mail attachments prior to our zoom meeting. This way you have a tool that you can use to follow our discussion, and also to keep with you to study. Additionally, with this approach, we will be able to minimize time lost in reading/writing non-essentials.For this effectiveness enhanced zoom session, ** I will need to have the problems/questions 2-3 days prior ** to our meeting.** Important: Please contact me ** well ahead of exam day (i.e. 2-3 days in advance) ** so that I can prepare the best and most helpful material for you. My goal is for you to go to your exam well prepared with sample categories of problems and their solutions to the point where you have no surprises in the exam questions.** The fee for a 90-100 min session is $55.** The fee is expected to be paid before starting the session.*** My Preparation:++ Ph.D. M.S. B.S. (Biology/Chemistry) University of California, Davis++ School of Medicine - Basic Sciences : 1 year: Histology, Biochemistry, Biophysics, Physiology++ DM-Th - Doctor in Medicine - Theory - Self awarded, subsequent to 7 years of self study of Medicine - Theory++ 8 years postdoctoral researcher and publisher++ 5 Summers: Lecturer, The Ohio State University++ 6 years Instructor Sherwood Test Prep, Fresno, CA++ 8 publications - One Novel math method for research in physics and chemistry++ 29 years of private instruction Chem-Physics-Math - MCAT - GMAT - GRE - USMLE (Topics) - MS, Ph.D. Nursing(1000 students) Zareh Darakjian, Ph.D. M.S. B.S. (honors) University of California, Davis, DM-Th [Self education]zdarakjian@gmail.com(559) 709-2022 (for initial contact, please text or e-mail me).    ;2021-12-23
2021-11-29T08:58:31-0800;50;Sacramento-Roseville-Folsom-Auburn;None;sacramento;If you hate Math and wish it was dead in a ditch, I am your tutor. I have a BA in Mathematics from UCBerkeley, I taught High School Math for a few years, and I am newly credentialed by the state of California. I am particularly good at explaining math to people who struggle with it, but I can teach all levels, so please give me a call. I tutor everything from PreAlgebra through AP Statistics and AP Calculus. My fee scale is - $50 for one hour or $160 for 4 hours. I moved up here from the Bay and I am still finding my way around, but I'm willing to travel if Google Maps knows where you are.~ the quickest way to reach me is by text ~Thank you for reading my ad!;2021-12-23
2021-12-19T09:16:06-0800;50;Sacramento;None;sacramento;I hope everything is fine and I am glad to have you here. I am fully vaccinated and available to meet in – person and Online tooSpecialization:I hold a Doctorate in Statistics with an Undergraduate Degree in Math (Major)15+ years of tutoring experience via digital board.Get: 1. 100% Excellence work2. A+ Grade3. 100% buyer satisfaction with excellent teaching 4. Fee after work done5. Teach concept in effective mannerService specifics:College Algebra Integration Differential equations Limits Series Linear Algebra Linear Programming Operations research Numerical Analysis Mathematics Advanced Calculus 1 Calculus 2 Calculus 3 Trigonometry Vectors Higher Mathematics Complex analysis Pre-calculus Complex analysis Discrete Finite Math Differentiation Excel Tableau Pre-Algebra Tutor MinitabRate:Zoom 1-on-1 tutoring$50 First hour (1hr) $100 (2hrs)$135 (3hrs)Credentials:Worked for 2 companies namedDatameer (2014-2017) as a Statistics Data AnalysisIBM (2017 onwards) as a Senior Statistician Tutoring Keywords: MATH 116 Calc MBA 626, 215, QMS 423, BUS 14A, BUS 14B, Pre-Calculus MATH 1 (UCLA) STATISTICS 10 (UCLA), MATH 10A (UCSD), MATH 10B (UCSD), MATH 20A (UCSD), MATH 20B (UCSD), MATH 20C (UCSD), MATH 20D (UCSD), MATH 11 (UCSD), MATH 2 (UCSD),Math12400MATH 8 (SMC), MATH 31A (UCLA), MATH 112, MATH 120, MATH 102 (LMU), MATH 142, MATH 241/242, STAT 015, STAT 050, MATH 10, MAT 191, MATH 114, MATH 117, MATH 110C, MATH 130C, MATH 131, MATH 137,, MATH 138, MATH 150C, MATH 160C, MATH 138, MATH 150, MATH 160, MATH 200, MATH 220 (SBCC), MATH 124MAT 192, MAT 131, MAT 321, MAT 421, MAT 131, MATH 227, QMS 321, IS 310 MAT240, (CSULB),MAT 323, MAE 505, MATH 2 (UCSD), MATH 3C (UCSD), MATH 4C (UCSD)I can send you either a hand written or a word document according to your need. For live - Hand written work in specific time.;2021-12-23
2021-12-18T13:23:53-0800;20.0;Sacramento;None;sacramento;"Hi everyone, do you need math, physics, or computer science tutoring? Could you use some help with homework? Need some review for tests?I can tutor in the following subjects including honors, AP, or college level:Calculus,Pre-Calculus and Trigonometry,Algebra 1 and 2,Statistics,Geometry,Integrated Math,Any combination of the above,Physics, andProgramming in Python and Java Computer Languages.I can give test prep in the following subjects:General Math ACT and Math, Physics, and Computer Science Subject ACT,General Math SAT and Math, Physics, and Computer Science Subject SAT,All Math STARS and CAHSEE Sections,General Math GRE and Math and Physics Subject GRE.Tutoring sessions will be online or in person and cost anywhere from $15 to $25 per hour based on a sliding scale for those in need.I accept payments through Google Pay, PayPal, Venmo, CashApp,Wyzant, or Upwork.Group tutoring session discounts are also available. I'm looking to set up regular tutoring sessions.Please reach out with days, times, and subjects you might need tutoring in.I graduated from the University of California at Berkeley in physics 3 years ago,and I'm looking to give back. Refer to my resume here for details:1drv.ms b s!AvQhCl0SMET32wJIsOA0PwMWUD-k(replace the spaces with forward slashes, also known as ""/"").    ";2021-12-23
2021-12-14T09:46:53-0800;30;Entire Sacramento Area;None;sacramento;Please visit us at www.sharpmindclasses.com Please feel free to text/call us at (650) 398-9490.About Us:At SharpMind Classes Inc, we are an experienced team that includes hand picked tutors and founders from IITs/Stanford dedicated to personalized 1:1 online tutoring. All our tutors have a Master of Science and/or a PhD degree in respective disciplines. All our tutors have  >5 years of experience  with online tutoring and helping students succeed in achieving their academic goals. Our online courses are designed to give students an excellent grasp of concepts in respective subjects with a focus on strong foundation building and practice based learning. We use state of the art audio/visual tools (Skype/Zoom/Google Meets/Whiteboard) to have a seamless online tutoring experience. Class room teaching uses one-size-fits-none approach and is not ideal for students with wide range of learning pace and abilities. It ends up overwhelming some students or causing boredom and thus reduced interest in others. We customize your tutoring plan based on the results of an assessment to define the content and pace of tutoring to your individual needs. Comprehensive assessments and worksheets are also used to define the baseline competency at the beginning of tutoring, to build confidence and test taking skills and to periodically demonstrate sustained progress.References can be provided upon request.Rates:Our rates are:* $20/hr for K-8* $25/hr for high school* $30/hr for college* $30/hr for HSPT/TASC/COOP, SAT/ACT, GMAT and GRE. First class is free for you to assess a good fit with the tutor.Tutoring Subjects:We offer online tutoring in the following subjects:Competitive Exams:•	HSPT •	TASC •	COOP •	SAT •	GRE •	GMAT Math:•	Grades K-12 Math•	Algebra 1 (Beginning), 2 (Intermediate)•	College Algebra•	Geometry•	Precalculus•	AP Calculus: AB and BC•	Calculus I: Differential Calculus•	Calculus II: Integral Calculus•	Calculus III: Multivariable Calculus•	Common Core: Math 1, Math 2, Math 3Science:•	Grades 1 – 10 Science.•	Chemistry•	AP Chemistry•	College General Chemistry•	Biology•	AP Biology•	College General Biology•	Physics•	AP Physics 1 and 2•	AP Physics C: Mechanics•	AP Physics C: Electricity & Magnetism•	College General PhysicsHumanities:•	Grades 1 – 12 English Composition and Writing.•	AP Economics•	AP World History  If you have a question about possible subjects to tutor in, please contact us with your contact information and we will promptly reply. Please feel free to text/call us at (650) 398-9490. ;2021-12-23
2021-12-09T10:20:54-0800;50;Citrus Heights, Fair Oaks, Orangevale, And More;None;sacramento;Shooting Stars Tutoring offers tutoring services for all grade levels and all subjects. Shooting Stars Tutoring offers initial assessments to each student to find their areas of need and proceed in developing an individualized curriculum matching those areas of need to strengthen them in their studies.  Our tutors are also available for homework help during the school year, as well as summer tutoring to help your child prepare for the next school year. *Our tutors are back to tutoring in-person and will continue to do so during the Fall semester! We will also continue offering interactive virtual classrooms through an online platform to help students keep up with their learning, if preferred. Our virtual classrooms include a 4-week educational program tailored to your student's specific needs. These classrooms are interactive, and 1-on-1 with a tutor.Our wide range of tutors can collectively teach all subjects in all grade levels, Kindergarten through College. Some of the educational plans we offer include: - All Levels of Math Homework Help or Individualized Intervention: Algebra, Geometry, Calculus, Stats, and more- Reading & Writing Intervention Personalized To The Student- SAT/ACT and GED prep.- All Levels of English, Language Arts, & Science - Phonics Development- ESL- Any SubjectOur rates are $50/hour and are willing to work with your schedule! Please feel free to contact us if you have any questions.Shooting Stars Tutoringwww.shootingstarstutoring.com    ;2021-12-23
