date_posted,link,price,city,subregion,region,post_text,prices_need_cleaning,posts_scraped_on
2021-12-22T14:44:05-0600,https://dallas.craigslist.org/dal/lss/d/dallas-the-alertmathtutor/7424038433.html,None,Online,Dallas,dallas,"*//**\\*🔴^//\\^^🔴🔵**MARK is an online  math tutor for many academic course levels.**🔴🔴🔵***######🔴🔴🔵~~~~~~~####🔴🔴🔵🔴🔴🔵🔴🔴**🔵🔴🔴🔵🔴🔴🔵Mark offers expert math tutoring.🔴🔴🔵(MANY)-services ARE offered online.🔴🔴🔵To reach Mark about math tutoring services, please text*(**(9**,*,,,,.)),[7,,*.2***,,🔴🔵))).(.)_]--(-(2,,**7))].(7***)-**-(1.*)[5**.)[4-***].9**….MATH Tutoring sessions are “provided” for the courses that ARE listed below:🔴🔴🔵(#Algebra)- 1--🔴🔴---(#Algebra)- 2.)---------------------------🔴🔴🔵(#Trig..)---🔵🔵----(#PreCalc...🔴🔴..))-----------------------------------------------🔺[#College Algebra🔴***🔵]---🔴🔴🔵(#Calculus courses🔴🔵)------🔺#Business Calc. math courses🔺#Finite Math,✔️Linear Algebra... Matrices...row Echelon form or Reduced Row Echelon Form, Vectors, eigenvalues, unit VECTORS or even more topics as well!🔴🔵🔴🔴🔵ASVAB Math####-===🔺#GED math,🍒#Liberal arts math🔴🔴🔴#Arithmetic,🔴🔴🔵🔴🔴🔵#Contemporary Math ,🍒#Trade math.🔵#College Tech math--🔴#Carpenter Apprenticeship Math🔵Please send your text message related inquiries to Mark about seeking tutoring services or for math subjects not listed to inquire if there are tutoring services available for those courses in which are not listed above.. .🔴 Mark tutors for the🔴🔵 SAT, GRE or for the ACT PREP. 🔴🔵:::::::::::::Tutoring is available for all parts of the (✔️)___ACT🔴🔴🔴🔴🔵🔴🔴--------(✔️)🔴🔴🔴🔴🔵🔴🔴__GRE(✔️)___& 🔴🔴🔵SAT PREP!!",False,2021-12-24
2021-12-22T13:27:33-0600,https://dallas.craigslist.org/dal/lss/d/dallas-middle-high-school-math-and/7424003663.html,None,Dallas,Dallas,dallas,"Is your child struggling in Math or English? I can helpWith a full Honors/AP course load and 4.0 GPA, I know how to simplify complex concepts and make information stick. I'll walk your child through confusing subjects and teach them important study skills so they can work faster, more efficiently, and excel in school. With competitive pricing and the first session free-of-charge, I'm the tutor you're looking for.I am available in-person or onlineContact me for more details    ",False,2021-12-24
2021-12-20T14:49:26-0600,https://dallas.craigslist.org/dal/lss/d/dallas-online-aware-math-tutor/7423226438.html,None,████🔴⬛🔵██🔴⬛🔵█🔴⬛🔵█Math~Tutor████🔴⬛🔵██🔴⬛🔵█🔴⬛🔵█,Dallas,dallas,"*//**\\*🔴^//^^🔴🔵**MARK is an online  math tutor for many academic course levels.**🔴🔴🔵***######🔴🔴🔵~~~~~~~####🔴🔴🔵🔴🔴🔵🔴🔴**🔵🔴🔴🔵🔴🔴🔵Mark offers expert math tutoring.🔴🔴🔵(MANY)-services ARE offered online.🔴🔴🔵To reach Mark about math tutoring services, please text*(**(9**,*,,,,.)),[7,,*.2***,,🔴🔵))).(.)_]--(-(2,,**7))].(7***)-**-(1.)[5**.)[4-***].9**….MATH Tutoring sessions are “provided” for the courses that ARE listed below:🔴🔴🔵(#Algebra)- 1--🔴🔴---(#Algebra)- 2.)---------------------------🔴🔴🔵(#Trigonometry..)---🔵🔵----(#PreCalc...🔴🔴..))-----------------------------------------------🔺[#College Algebra🔴***🔵]---🔴🔴🔵(#Calculus courses🔴🔵)------🔺#Business Calc. math courses🔺#Finite Math,✔️Linear Algebra... Matrices...row Echelon form or Reduced Row Echelon Form, Vectors, eigenvalues, unit VECTORS or even more topics as well!🔴🔵🔴🔴🔵ASVAB Math####-===🔺#GED math,🍒#Liberal arts math🔴🔴🔴#Arithmetic,🔴🔴🔵🔴🔴🔵#Contemporary Math ,🍒#Trade math.🔵#College Tech math--🔴#Carpenter Apprenticeship Math🔵Please send your text message related inquiries to Mark about seeking tutoring services or for math subjects not listed to inquire if there are tutoring services available for those courses in which are not listed above.. .🔴 Mark tutors for the🔴🔵 SAT, GRE or for the ACT PREP. 🔴🔵:::::::::::::Tutoring is available for all parts of the (✔️)___ACT🔴🔴🔴🔴🔵🔴🔴--------(✔️)🔴🔴🔴🔴🔵🔴🔴__GRE(✔️)___& 🔴🔴🔵SAT PREP!!",False,2021-12-24
2021-12-20T12:44:37-0600,https://dallas.craigslist.org/dal/lss/d/dallas-ivy-league-tutor-sat-act-gmat/7423162362.html,None,None,Dallas,dallas,"Professional full-time tutor available for your tutoring needs. I’m highly experienced with a strong track record of helping students increase grades and test scores. I take pride in bringing out the full academic potential from my students.Contact me (call or text) at 214-305-9705Educational Background:University of Pennsylvania(Undergrad)Harvard University(Grad)ACT 35SAT 1580LSAT 176MCAT 524GRE 334GMAT 790I have 4 years of classroom teaching experience at a public school. I also have 3 years of work experience teaching at a tutoring center. I went on my own and have been doing online and in-person tutoring for the past 4 years.Subjects I tutor: Geometry, Calculus, Algebra, Pre-calculus, Trigonometry, Biology, Physics, Chemistry, Organic Chemistry, Anatomy and Physiology, Psychology, Earth Science, Environmental Science, General Science, English Literature, Language and Writing, AP courses, and History.Tests I tutor:  SAT, ACT, GMAT, GRE, LSAT, MCAT, MAT, GED, ISEE, HSPT, TOEFL, IELTSOther services: Admission counseling, editing resume and cover letters, interview tips, essay writing, writing personal statementsRate: varies depending on location, subject and the type of tutoring selected.Please contact me by responding to this listing with your name and contact number along with the subject or exam you need help with. I’ll get back to you as soon as I can to discuss plans.    ",False,2021-12-24
2021-12-19T12:11:11-0600,https://dallas.craigslist.org/dal/lss/d/dallas-alert-astute-math-tutor/7422757049.html,None,Online,Dallas,dallas,"*//**\\*🔴^^^🔴🔵**MARK is an online  math tutor for many academic course levels.**🔴🔴🔵***######🔴🔴🔵~~~~~~~####🔴🔴🔵🔴🔴🔵🔴🔴**🔵🔴🔴🔵🔴🔴🔵Mark offers expert math tutoring.🔴🔴🔵(MANY)-services ARE offered online.🔴🔴🔵To reach Mark about math tutoring services, please text*(**(9**,*,,,,.)),[7,,*.2***,,🔴🔵))).(.)_]--(-(2,,**7))].(7*****)-**-(1.)[5***.)[4***].9***….MATH Tutoring sessions are “provided” for the courses that ARE listed below:🔴🔴🔵(#Algebra)- 1--🔴🔴---(#Algebra)- 2.)---------------------------🔴🔴🔵(#Trig..)---🔵🔵----(#PreCalculus..🔴🔴..))-----------------------------------------------🔺[#College Algebra🔴***🔵]---🔴🔴🔵(#Calculus courses🔴🔵)------🔺#Business Calc. math courses🔺#Finite Math,✔️Linear Algebra... Matrices...row Echelon form or Reduced Row Echelon Form, Vectors, eigenvalues, unit VECTORS or even more topics as well!🔴🔵🔴🔴🔵ASVAB Math####-===🔺#GED math,🍒#Liberal arts math🔴🔴🔴#Arithmetic,🔴🔴🔵🔴🔴🔵#Contemporary Math ,🍒#Trade math.🔵#College Tech math--🔴#Carpenter Apprenticeship Math🔵Please send your text message related inquiries to Mark about seeking tutoring services or for math subjects not listed to inquire if there are tutoring services available for those courses in which are not listed above.. .🔴 Mark tutors for the🔴🔵 SAT, GRE or for the ACT PREP. 🔴🔵:::::::::::::Tutoring is available for all parts of the (✔️)___ACT🔴🔴🔴🔴🔵🔴🔴--------(✔️)🔴🔴🔴🔴🔵🔴🔴__GRE(✔️)___& 🔴🔴🔵SAT PREP!!",False,2021-12-24
2021-12-16T10:15:38-0600,https://dallas.craigslist.org/dal/lss/d/dallas-ivy-league-tutor-sat-act-gmat/7421497516.html,None,None,Dallas,dallas,"Professional full-time tutor available for your tutoring needs. I’m highly experienced with a strong track record of helping students increase grades and test scores. I take pride in bringing out the full academic potential from my students.Contact me (call or text) at 214-305-9705Educational Background:University of Pennsylvania(Undergrad)Harvard University(Grad)ACT 35SAT 1580LSAT 176MCAT 524GRE 334GMAT 790I have 4 years of classroom teaching experience at a public school. I also have 3 years of work experience teaching at a tutoring center. I went on my own and have been doing online and in-person tutoring for the past 4 years.Subjects I tutor: Geometry, Calculus, Algebra, Pre-calculus, Trigonometry, Biology, Physics, Chemistry, Organic Chemistry, Anatomy and Physiology, Psychology, Earth Science, Environmental Science, General Science, English Literature, Language and Writing, AP courses, and History.Tests I tutor:  SAT, ACT, GMAT, GRE, LSAT, MCAT, MAT, GED, ISEE, HSPT, TOEFL, IELTSOther services: Admission counseling, editing resume and cover letters, interview tips, essay writing, writing personal statementsRate: varies depending on location, subject and the type of tutoring selected.Please contact me by responding to this listing with your name and contact number along with the subject or exam you need help with. I’ll get back to you as soon as I can to discuss plans.    ",False,2021-12-24
2021-12-15T14:17:17-0600,https://dallas.craigslist.org/dal/lss/d/dallas-expertalertmath-tutor/7421210147.html,None,███🔴█🔴🔵🔵🔴🔴🔴██🔵██Math---Tutor███🔴█🔴🔵🔵🔴🔴🔴██🔵██,Dallas,dallas,"*//***🔴🔴🔵**MARK is an online  math tutor for many academic course levels.**🔴🔴🔵***######🔴🔴🔵~~~~~~~####🔴🔴🔵🔴🔴🔵🔴🔴**🔵🔴🔴🔵🔴🔴🔵Mark offers expert math tutoring.🔴🔴🔵(MANY)-services ARE offered online.🔴🔴🔵To reach Mark about math tutoring services, please text*(**(9*,,*,*,,,,.)),[7,,*.2,,🔴🔵))).(.)_]--(-(2,,**7))].(7***)-**-(1.)[5**.)[4***].9**….MATH Tutoring sessions are “provided” for the courses that ARE listed below:🔴🔴🔵(#Algebra)- 1--🔴🔴---(#Algebra)- 2.)---------------------------🔴🔴🔵(#Trig..)---🔵🔵----(#PreCalculus..🔴🔴..))-----------------------------------------------🔺[#College Algebra🔴***🔵]---🔴🔴🔵(#Calculus courses🔴🔵)------🔺#Business Calc. math courses🔺#Finite Math,✔️Linear Algebra... Matrices...row Echelon form or Reduced Row Echelon Form, Vectors, eigenvalues, unit VECTORS or even more topics as well!🔴🔵🔴🔴🔵ASVAB Math####-===🔺#GED math,🍒#Liberal arts math🔴🔴🔴#Arithmetic,🔴🔴🔵🔴🔴🔵#Contemporary Math ,🍒#Trade mathematics🔵#College Tech math--🔴#Carpenter Apprenticeship Math🔵Please send your text message related inquiries to Mark about seeking tutoring services or for math subjects not listed to inquire if there are tutoring services available for those courses in which are not listed above.. .🔴 Mark tutors for the🔴🔵 SAT, GRE or for the ACT-PREP. 🔴🔵:::::::::::::Tutoring is available for all parts of the (✔️)___ACT🔴🔴🔴🔴🔵🔴🔴--------(✔️)🔴🔴🔴🔴🔵🔴🔴__GRE(✔️)___& 🔴🔴🔵SAT PREP!!",False,2021-12-24
2021-12-14T15:24:33-0600,https://dallas.craigslist.org/ndf/lss/d/dallas-math-chem-sat-act-tutor-30/7420810031.html,"[30, 35, 45]",None,North Dfw,dallas,"Feel free to text me at 909-640-3570Hi, I was accepted into the Ivy Leagues and tutor math, chemistry, and SAT/ACT. I’ve been a tutor for over 8 years working with students of all ages. I help with homework, quizzes and tests. For ACT/SAT I scored in the top 1%, use official practice tests and teach high-level tricks. I tutor through videocall, so you can work with me from the comfort of your home 🏠.+ Math ($30)+ Chem ($35)+ SAT/ACT ($45)+ Online Tutoring (Zoom/Skype/Facetime)Give me a call or text me at 909-640-3570. My schedule is flexible and we can get started ASAP.    ",True,2021-12-24
2021-12-14T14:23:48-0600,https://dallas.craigslist.org/dal/lss/d/dallas-alert-math-tutor/7420780857.html,None,████🔴 🔴 🔴 🔴 █🔵🔵🔵███Math Expert~Tutor████🔴 🔴 🔵 🔴,Dallas,dallas,"*//***🔴🔴🔵**MARK is an online  math tutor for many academic course levels.**🔴🔴🔵***######🔴🔴🔵~~~~~~~####🔴🔴🔵🔴🔴🔵🔴🔴**🔵🔴🔴🔵🔴🔴🔵Mark offers expert math tutoring.🔴🔴🔵(MANY)-services ARE offered online.🔴🔴🔵To reach Mark about math tutoring services, please text*(**(9**,*,,,,.)),[7,,*.2,,🔴🔵))).(.)_]--(-(2,,**7))].(7***)-**-(1.)[5**.)[4***].9**….MATH Tutoring sessions are “provided” for the courses that ARE listed below:🔴🔴🔵(#Algebra)- 1--🔴🔴---(#Algebra)- 2.)---------------------------🔴🔴🔵(#Trig..)---🔵🔵----(#PreCalculus..🔴🔴..))-----------------------------------------------🔺[#College Algebra🔴***🔵]---🔴🔴🔵(#Calculus courses🔴🔵)------🔺#Business Calc. math courses🔺#Finite Math,✔️Linear Algebra... Matrices...row Echelon form or Reduced Row Echelon Form, Vectors, eigenvalues, unit VECTORS or even more topics as well!🔴🔵🔴🔴🔵ASVAB Math####-===🔺#GED math,🍒#Liberal arts math🔴🔴🔴#Arithmetic,🔴🔴🔵🔴🔴🔵#Contemporary Math ,🍒#Trade mathematics🔵#College Tech math--🔴#Carpenter Apprenticeship Math🔵Please send your text message related inquiries to Mark about seeking tutoring services or for math subjects not listed to inquire if there are tutoring services available for those courses in which are not listed above.. .🔴 Mark tutors for the🔴🔵 SAT, GRE or for the ACT PREP. 🔴🔵:::::::::::::Tutoring is available for all parts of the (✔️)___ACT🔴🔴🔴🔴🔵🔴🔴--------(✔️)🔴🔴🔴🔴🔵🔴🔴__GRE(✔️)___& 🔴🔴🔵SAT PREP!!",False,2021-12-24
2021-12-13T14:34:54-0600,https://dallas.craigslist.org/dal/lss/d/new-york-ivy-grad-math-tutor-psat-sat/7420345516.html,90,Free 30-Min. Trial Lesson,Dallas,dallas,"Call or Text Ash at (917) 359-9662 to schedule your free trial lesson. Get Accepted into Dream Schools using my 5 Vital Skills to Ace ALL Math Tests!✔️ 8 CORE SHORTCUTS:  These Core Shortcuts will Solve Most Problems In 20 Seconds Flat! ✔️ HIGH-FREQUENCY QUESTIONS:  We'll Provide You with Frequently Asked Questions in Tests. Good News: There are only 7 Main Types ✔️  STUDY|REST|STUDY:  Prep Only with this Technique. You'll Develop Massive Mental Stamina for Long Tests✔️ MENTAL MATH:  Learn this Forgotten Art developed before the Age of Calculators. Reduce Errors. Save Time & Energy✔️ GUESSING MASTERY:  Still Choosing Choice C as a Guess? Our Shockingly Easy Guessing Tactics Will Propel Your Score without Any Extra Studying! RATES$90/hourABOUT MEI'm an energetic math coach who holds dual master’s degrees in Electrical and Financial engineering from Columbia University and has been guiding hundreds of students in Math and Reading since 2008 in New York City and online. I'm based in NYC. For further information, please check out my website, bluerocketacademy.com.TESTIMONIALS FROM SATISFIED CLIENTS(Check out our GOOGLE REVIEWS for even more testimonials)""I am very impressed with the level of patience and methods Ash used to tutor my son. We thought John had no hope of raising his SAT scores above 1300. Ash is an excellent listener and was able to immediately help give tips and suggestions which showed quick results. Our son ended up with a score of 1440! I would highly recommend Ash.""  - Willem S., Parent of SAT student Final SAT Score: 1440 “Ash has tutored our child in high school Algebra and Geometry for the past two years. His calm and caring demeanor has made math less stressful. Ash is a fantastic tutor and person.” – Claudia & Paul D., Queens, NY""Once I contacted Ash late night about a difficulty I had before my SAT exam. He got right back to me with the solution. He has helped me time and again - I primarily struggled with the Reading and Writing sections and now I can tackle those questions so much better. My parents and I truly appreciate his support. Thank you, Ash!""  – Anuj V., Union City, NJ“With Ash’s tutoring sessions, my child has grown in confidence and has a better understanding of AP Calculus concepts being taught in class.  Along with Ash’s excellent teaching skills, he is very organized and reliable. We highly recommend him.” – Cheryl & Kevin M., Brooklyn, NY–Parents of AP Calculus student“Most tutors I’ve had in the past would just sit and watch me do work. Ash goes through questions and teaches me how to approach them and what techniques to use. He is very encouraging and knows how to make me succeed. Best tutor I’ve ever had.” – Vineet R., New York, NYCall or Text Ash at (917) 359-9662 to schedule your free trial lesson.",False,2021-12-24
