date_posted,link,price,city,subregion,region,post_text,prices_need_cleaning,posts_scraped_on
2021-12-23T08:58:51-0600,https://houston.craigslist.org/lss/d/houston-teach-math-reading-science-one/7424263759.html,19,Proven Results,None,houston,"Hi! I am a certified teacher with 7 years experience offering tutoring services. I have a proven track record , and I also work alongside a few other teachers! This is our passion! I help students who are falling behind and may have missing assignments or those who would like to be accelerated in learning to stay above their class! I have private , on one one lessons for only $19 per session! We can get started right away but my schedules fills quickly. Call or text me 404-905-5360I teach all subjects K-12Thanks    ",False,2021-12-24
2021-12-22T09:22:42-0600,https://houston.craigslist.org/lss/d/houston-teach-math-reading-science-one/7423881378.html,19,Proven Results,None,houston,"Hi! I am a certified teacher with 7 years experience offering tutoring services. I have a proven track record , and I also work alongside a few other teachers! This is our passion! I help students who are falling behind and may have missing assignments or those who would like to be accelerated in learning to stay above their class! I have private , on one one lessons for only $19 per session! We can get started right away but my schedules fills quickly. Call or text me 404-905-5360I teach all subjects K-12Thanks    ",False,2021-12-24
2021-12-21T14:36:53-0600,https://houston.craigslist.org/lss/d/spring-ivy-league-tutor-sat-act-gmat/7423634312.html,None,None,None,houston,"Professional full-time tutor available for your tutoring needs. I’m highly experienced with a strong track record of helping students increase grades and test scores. I take pride in bringing out the full academic potential from my students.Contact me (call or text) at 281-407-6375Educational Background:University of Pennsylvania(Undergrad)Harvard University(Grad)ACT 35SAT 1580LSAT 176MCAT 524GRE 334GMAT 790I have 4 years of classroom teaching experience at a public school. I also have 3 years of work experience teaching at a tutoring center. I went on my own and have been doing online and in-person tutoring for the past 4 years.Subjects I tutor: Geometry, Calculus, Algebra, Pre-calculus, Trigonometry, Biology, Physics, Chemistry, Organic Chemistry, Anatomy and Physiology, Psychology, Earth Science, Environmental Science, General Science, English Literature, Language and Writing, AP courses, and History.Tests I tutor:  SAT, ACT, GMAT, GRE, LSAT, MCAT, MAT, GED, ISEE, HSPT, TOEFL, IELTSOther services: Admission counseling, editing resume and cover letters, interview tips, essay writing, writing personal statementsRate: varies depending on location, subject and the type of tutoring selected.Please contact me by responding to this listing with your name and contact number along with the subject or exam you need help with. I’ll get back to you as soon as I can to discuss plans.    ",False,2021-12-24
2021-12-21T09:22:40-0600,https://houston.craigslist.org/lss/d/houston-am-private-tutor-very/7423475636.html,19,Houston,None,houston,"Hi! I am a certified teacher with 7 years experience offering tutoring services. I have a proven track record , and I also work alongside a few other teachers! This is our passion! I help students who are falling behind and may have missing assignments or those who would like to be accelerated in learning to stay above their class! I have private , on one one lessons for only $19 per session! We can get started right away but my schedules fills quickly. Call or text me 404-905-5360I teach all subjects K-12Thanks    ",False,2021-12-24
2021-12-20T10:41:48-0600,https://houston.craigslist.org/lss/d/houston-am-private-tutor-very/7423095326.html,19,Houston,None,houston,"Hi! I am a certified teacher with 7 years experience offering tutoring services. I have a proven track record , and I also work alongside a few other teachers! This is our passion! I help students who are falling behind and may have missing assignments or those who would like to be accelerated in learning to stay above their class! I have private , on one one lessons for only $19 per session! We can get started right away but my schedules fills quickly. Call or text me 404-905-5360I teach all subjects K-12Thanks    ",False,2021-12-24
2021-12-18T09:53:20-0600,https://houston.craigslist.org/lss/d/houston-am-private-tutor-very/7422321984.html,19,Houston,None,houston,"Hi! I am a certified teacher with 7 years experience offering tutoring services. I have a proven track record , and I also work alongside a few other teachers! This is our passion! I help students who are falling behind and may have missing assignments or those who would like to be accelerated in learning to stay above their class! I have private , on one one lessons for only $19 per session! We can get started right away but my schedules fills quickly. Call or text me 404-905-5360I teach all subjects K-12Thanks    ",False,2021-12-24
2021-12-17T15:19:07-0600,https://houston.craigslist.org/lss/d/houston-am-private-tutor-very/7422076499.html,19,Houston,None,houston,"Hi! I am a certified teacher with 7 years experience offering tutoring services. I have a proven track record , and I also work alongside a few other teachers! This is our passion! I help students who are falling behind and may have missing assignments or those who would like to be accelerated in learning to stay above their class! I have private , on one one lessons for only $19 per session! We can get started right away but my schedules fills quickly. Call or text me 404-905-5360I teach all subjects K-12Thanks    ",False,2021-12-24
2021-12-17T12:40:52-0600,https://houston.craigslist.org/lss/d/spring-ivy-league-tutor-sat-act-gmat/7421998697.html,None,None,None,houston,"Professional full-time tutor available for your tutoring needs. I’m highly experienced with a strong track record of helping students increase grades and test scores. I take pride in bringing out the full academic potential from my students.Contact me (call or text) at 281-407-6375Educational Background:University of Pennsylvania(Undergrad)Harvard University(Grad)ACT 35SAT 1580LSAT 176MCAT 524GRE 334GMAT 790I have 4 years of classroom teaching experience at a public school. I also have 3 years of work experience teaching at a tutoring center. I went on my own and have been doing online and in-person tutoring for the past 4 years.Subjects I tutor: Geometry, Calculus, Algebra, Pre-calculus, Trigonometry, Biology, Physics, Chemistry, Organic Chemistry, Anatomy and Physiology, Psychology, Earth Science, Environmental Science, General Science, English Literature, Language and Writing, AP courses, and History.Tests I tutor:  SAT, ACT, GMAT, GRE, LSAT, MCAT, MAT, GED, ISEE, HSPT, TOEFL, IELTSOther services: Admission counseling, editing resume and cover letters, interview tips, essay writing, writing personal statementsRate: varies depending on location, subject and the type of tutoring selected.Please contact me by responding to this listing with your name and contact number along with the subject or exam you need help with. I’ll get back to you as soon as I can to discuss plans.    ",False,2021-12-24
2021-12-16T14:16:41-0600,https://houston.craigslist.org/lss/d/houston-am-private-tutor-very/7421625293.html,19,Houston,None,houston,"Hi! I am a certified teacher with 7 years experience offering tutoring services. I have a proven track record , and I also work alongside a few other teachers! This is our passion! I help students who are falling behind and may have missing assignments or those who would like to be accelerated in learning to stay above their class! I have private , on one one lessons for only $19 per session! We can get started right away but my schedules fills quickly. Call or text me 404-905-5360I teach all subjects K-12Thanks    ",False,2021-12-24
2021-12-15T08:49:50-0600,https://houston.craigslist.org/lss/d/houston-am-private-tutor-very/7421038633.html,19,Houston,None,houston,"Hi! I am a certified teacher with 7 years experience offering tutoring services. I have a proven track record , and I also work alongside a few other teachers! This is our passion! I help students who are falling behind and may have missing assignments or those who would like to be accelerated in learning to stay above their class! I have private , on one one lessons for only $19 per session! We can get started right away but my schedules fills quickly. Call or text me 404-905-5360I teach all subjects K-12Thanks    ",False,2021-12-24
