date_posted;price;city;subregion;region;post_text;posts_scraped_on
2021-12-23T09:01:15-0700;60;Phoenix;Central/South Phx;phoenix;Serving all of the Phoenix Area in Facetime and Zoom tutoring*Math*Physics*Chemistry*Algebra*Geometry*Pre-Calc*Calculus*Thermodynamics*Statics, Dynamics*Fluid Mechanics*Several other Engineering courses| ----- My Educational Background and Experience ----- |Dos Pueblos Engineering Academy Class of 2008.Cal Poly Mechanical Engineering BS 2013.Have my Fundamentals of Engineering Certificate in Mechanical Engineering.*AP Physics-Score 5*AP Chemistry-Score 5*AP Calc*4 Calc Classes at Cal Poly*2 Linear Analysis at Cal Poly| ----- Rate ----- |$60/hr and 1 hour minimum sessions.24 hour cancellation policy: If you cancel within 24 hours, you will be charged for 1 hour and I will credit you 1 hour next session.Please text to schedule. 805-705-five7two1. Include your name and 2 example photos of problems from the class.-Rick    ;2021-12-24
2021-12-14T14:23:40-0700;30;None;East Valley;phoenix;Feel free to text me at 909-640-3570Hi, I was accepted into the Ivy Leagues and tutor math, chemistry, and SAT/ACT. I’ve been a tutor for over 8 years working with students of all ages. I help with homework, quizzes and tests. For ACT/SAT I scored in the top 1%, use official practice tests and teach high-level tricks. I tutor through videocall, so you can work with me from the comfort of your home 🏠.+ Math ($30)+ Chem ($35)+ SAT/ACT ($45)+ Online Tutoring (Zoom/Skype/Facetime)Give me a call or text me at 909-640-3570. My schedule is flexible and we can get started ASAP.    ;2021-12-24
2021-12-08T13:33:56-0700;30;Scottsdale / Phoenix;Phx North;phoenix;MATH FINALS ARE NEAR!EITHER ONLINE OR IN PERSON - GET THE MATH HELP YOU NEED!DON'T FALL BEHIND!STAY ON TOP OF YOUR GAME!MATH TUTOR / TEACHER - Highly Qualified Algebra Geometry Trig CalculusPhoenix/Scottsdale AreaHello:Set up your MATH tutoring sessions now! Text or Call DaveSubjects: Elementary Math, Pre-Algebra, Algebra I, II, III, IV,  Geometry, Trigonometry, Pre-Calc, Calculus I, and some topics in Calculus II, Earth Science, Meteorology. I'm HIGHLY QUALIFIED through the State of Arizona to teach any Math course through the secondary level.I've taught Math and Earth Science in private and charter schools North Phoenix.  I'm also a degreed Meteorologist with 30+ years experience.If your too far - no problem - can do remote sessions using Google Meet!Hourly Rate: $30/hrHours availableMost Weekdays: after 11amWeekends: Preferably between 10am-2pm CALL OR TEXT Now to secure a session!** Note ** If you want in person tutoring, the meeting location is Starbucks on 40th St. and Thunderbird. **** Online tutoring will be through Google Meet **Thanks!Dave    ;2021-12-24
2021-12-05T11:18:44-0700;57;Tempe;East Valley;phoenix;BlakeTutoring.comOVER 450 5-star reviews on Wyzant & Thumbtack1 hour sessions for only $5730 minute sessions for only $35Text/Call: 724-804-8356Hi, my name is Alexander Blake, and I have been tutoring for over 10,000 hours! I graduated with a Bachelor's in Computer Science from California State University, Fullerton. In my time tutoring, I have tutored elementary through graduate level students.I have successfully prepared students for SAT and ACT Math tests, and up to Calculus level work. In high school, I was in an accelerated math program where I was able to take AP Calculus AB my junior year, and AP Calculus BC my senior year. After taking the AP Calculus AB & BC Exams, I scored a 5 out of 5 on both tests. This allowed me to not only begin my higher-level math courses early in college but has also enabled me to keep my math skills refined, and graduate with a 3.8 GPA.My tutoring philosophy focuses on the individual. I like to know what each of my clients likes to do outside of school so I can relate the math concepts they are learning about things they enjoy doing. To accomplish this, I personally design my lesson plans and customize them to my client's personality. For example, if I have a student that plays basketball, I will have them solve problems that incorporate concepts of basketball, such as finding a team's field goal percentage. By focusing on each person uniquely, I am able to fully understand why the student is not grasping certain concepts and can help them understand concepts and terms they are already familiar with. This is why all of my students have been and will continue to be successful!Math: Algebra I/II, Calculus (AP AB & College Level), Common Core, Geometry, Precalculus, Statistics (AP/College Level), & TrigonometryComputer Science: AP CS A/Principles, C/C++, CSS, HTML, Java, JavaScript, Linux (Bash/Zsh), Python, & SQLTest Preparation: ACT (All Sections), ASVAB, GED, HiSET, & SAT (All Sections)Text/Call: 724-804-8356 ;2021-12-24
2021-12-02T10:13:24-0700;40;Online;Central/South Phx;phoenix;★★ College Math Tutor★ Calculus I ,II & III, AP Calculus AB/BC , Trig, College Algebra, College Statistics, Linear Algebra, ODEWebsite :www.collegemathcourses.comYouTube :(Under Construction)https://www.youtube.com/channel/UCqhFZRmUqOAAPMQpo58TV7g★★All tutoring is done by One Tutor. ★★Elementary Statistics and ProbabilityIntroduction to Statistical ReasoningProbability and StatisticsMathematical StatisticsPre-AlgebraIntermediate AlgebraCollege Algebra/Algebra 1/Algebra 2GeometryTrigonometry (Trig)Finite MathematicsPre-Calculus /Math AnalysisCalculus I , II and IIIVector CalculusIntroduction Linear Algebra (Matrix)Finite Mathematics===For Engineering students ========================Advanced CalculusDifferential and Integral CalculusMultiple Variable CalculusApplied Statistics and Probability for EngineersComplex NumbersDifferential EquationEngineering Analysis===For MBA and EMBA students ====================Business StatisticsBusiness CalculusIntroduction to Statistical ReasoningOperational ResearchOptimizationQuantitative AnalysisDecision AnalysisManagement ScienceLinear ProgrammingTransportation ProblemsExcel TableauMathematics and PoliticsProject ManagementTest PreparationSATCBEST, CSET I, II and III (MATHEMATICS for HS and Middle school Teachers)GRE MATHGMAT MATHAP Calculus AB and BCAP StatisticsGraphing Calculation helpHourly Rate : Depending on the subject: ==== Most Math/Stats Subjects $40/hr ================= ★★ $30/hr - $40/hr ★★ ====================================Assignment Help, Homework Help -Step by Step Solutions Rate :$30/hr - $40/hr================================================================================== ★★ $40/hr ★★ =========================================Zoom 1-on-1 tutoring : $40/hr====================================================================★ I can help students with their homework assignments , projects, and prepare for the Exams★★ I will forward you a PDF file of the notes and problems solved during the tutoring session if needed★==★★ Exp University Level Math Tutor (MS Applied Mathematics, MS Applied Statistics and MS Aerospace Engineering) ★★ ================ ★★ ★★ =======================================GRE MATH (My GRE MATH Score : 800/800)============================================================★★ You're not paying for the hours or minutes but for Education, Knowledge and Experience ★★★★★★★★ Text/ Email Preferred (Text for a Faster Response ) ★★★★★★============================================================================Keywords: High School, Middle School, College, University, Home school, Online Help, Google Drive, Zoom, Screen share, whiteboard, , Graphing Calculator Help, Consultation, STEM, Excel, statcrunch, F201, MBA 626, QUMS 505, BUAD 310 (USC), QBUS 215, MATH 227, QMS 321, IS 310 (CSULB), QMS 423, BUS 14A, BUS 14B, Pre-Calculus MATH 1 (UCLA), Introduction to Statistical Reasoning STATISTICS 10 (UCLA), MATH 8 (SMC), MATH 31A (UCLA), MATH 112, MATH 120, MATH 102 (LMU), MATH 142, MATH 241/242, STAT 015, STAT 050, MATH 10, MAT 191, MAT 192, MAT 131, MAT 321, MAT 421, MAT 131, MAT 323, MAE 505, PPD 502X, Psych 210, Psy 3307 , MA-336 (CUNY), MA-114 (CUNY), MA-119 (CUNY) , MA-441 (CUNY), MA-442 (CUNY), MA-440(CUNY), MA-261 (CUNY), MA-121 (CUNY), MA-120 (CUNY), MA-10 (CUNY), MATH 2 (UCSD), MATH 3C (UCSD), MATH 4C (UCSD), MATH 10A (UCSD), MATH 10B (UCSD), MATH 20A (UCSD), MATH 20B (UCSD), MATH 20C (UCSD), MATH 20D (UCSD), MATH 11 (UCSD), MATH 2 (UCSD),Math 165 (El Camino), Math12400,.....(SMC) Math 1, Math 2, Math 2C, Math 3, Math 3C, Math 4, Math 4C, Math 7, Math 8, Math 15, Math 18, Math 20, Math 21C, Math 26, Math 26C, Math 28, Math 29, Math 31, Math 32, Math 41, Math 50, Math 54,Math 54C,Math 81,Math 84,Math 85 (SMC)(SBCC) MATH 114, MATH 117, MATH 110C, MATH 130C, MATH 131, MATH 137,, MATH 138, MATH 150C, MATH 160C, MATH 138, MATH 150, MATH 160, MATH 200, MATH 220 (SBCC), MATH 124, MATH 1040 (Honors), MATH G160, MAT 241 ( Calculus 3/ Chicago/Illinois)Calculus II :Integration by PartsConvergence TEST & Divergence TESTAbsolutely ConvergentConditionally ConvergentGeometric Seriesp-SeriesDirect ComparisonLimit ComparisonRatio TestRoot TestIntegral TestAlternating SeriesCalculus III3D Coordinate SystemsVector FunctionsPartial DerivativesMaximum and Minimum Values (With constraints)Multiple IntegralsVector CalculusLine IntegralsSurface IntegralsApplications (Calculus 1, 2 and 3)College Statistics :Elasticity, ANOVA, Z , t , Normal, Poisson, Binomial, Exponential, Uniform, Negative Binomial, Hyper-geometric distributions , Trigonometry, Integration, Integration by Parts, Differentiation, derivative , Theory of Voting, Majority Rule, Voting Methods, Voting Power, Minimum Spanning tree , Shortest path, spanning tree , PERT, CPM, ALEKS, Cengage ,Canvas, MyMathLab , MyStatLab ,Pearson , Wiley , Brightspace, MyOpenMath, Connect,Webwork. ConnectMath, StraighterLine , Statcrunch ,WebAssign , Lumenohm. etc;2021-12-24
2021-12-19T10:06:17-0700;50;Phoenix;Central/South Phx;phoenix;I hope everything is fine and I am glad to have you here. I am fully vaccinated and available to meet in – person and Online tooSpecialization:I hold a Doctorate in Statistics with an Undergraduate Degree in Math (Major)15+ years of tutoring experience via digital board.Get: 1. 100% Excellence work2. A+ Grade3. 100% buyer satisfaction with excellent teaching 4. Fee after work done5. Teach concept in effective mannerService specifics:College Algebra Integration Differential equations Limits Series Linear Algebra Linear Programming Operations research Numerical Analysis Mathematics Advanced Calculus 1 Calculus 2 Calculus 3 Trigonometry Vectors Higher Mathematics Complex analysis Pre-calculus Complex analysis Discrete Finite Math Differentiation Excel Tableau Pre-Algebra Tutor MinitabRate:Zoom 1-on-1 tutoring$50 First hour (1hr) $100 (2hrs)$135 (3hrs)Credentials:Worked for 2 companies namedDatameer (2014-2017) as a Statistics Data AnalysisIBM (2017 onwards) as a Senior Statistician Tutoring Keywords: MATH 116 Calc MBA 626, 215, QMS 423, BUS 14A, BUS 14B, Pre-Calculus MATH 1 (UCLA) STATISTICS 10 (UCLA), MATH 10A (UCSD), MATH 10B (UCSD), MATH 20A (UCSD), MATH 20B (UCSD), MATH 20C (UCSD), MATH 20D (UCSD), MATH 11 (UCSD), MATH 2 (UCSD),Math12400MATH 8 (SMC), MATH 31A (UCLA), MATH 112, MATH 120, MATH 102 (LMU), MATH 142, MATH 241/242, STAT 015, STAT 050, MATH 10, MAT 191, MATH 114, MATH 117, MATH 110C, MATH 130C, MATH 131, MATH 137,, MATH 138, MATH 150C, MATH 160C, MATH 138, MATH 150, MATH 160, MATH 200, MATH 220 (SBCC), MATH 124MAT 192, MAT 131, MAT 321, MAT 421, MAT 131, MATH 227, QMS 321, IS 310 MAT240, (CSULB),MAT 323, MAE 505, MATH 2 (UCSD), MATH 3C (UCSD), MATH 4C (UCSD)I can send you either a hand written or a word document according to your need. For live - Hand written work in specific time.;2021-12-24
2021-11-28T15:20:11-0700;40;Phoenix;Central/South Phx;phoenix;Are you currently struggling in passing or getting your desired grade in your math courses during this difficult time, especially when math courses are online? With over ten years of tutoring, teaching, and helping experience, I am proficient at helping students to succeed and pass their courses in the following math subjects:- Algebra / College Algebra- Geometry- PreCalculus / Trigonometry- Calculus / Business Calculus- Statistics / Business Statistics- Math for Liberal Studies / Discrete MathEstimate based on the detail of each assignment or assessment, with a minimum of $40 per assignment or assessment. Please contact me at (626) 200-5922 at least few days before the due dates of the assignments for a smooth, remote transition and experience.Thank you so much and I look forward to work with you!------------Keywords: Math, Homework, Test, Exam, tutor, proctor, proctorio, proctorU, Teacher, Helper, Completion, Complete, Online, Remote, Quizzes, Quiz Mathematics, College, Algebra, final, course, aleks, webassign, pearson, mymathlab, cengage, SPSS, mathxl, mcgraw-hill, apex, connectmath, connect, mystatlab, respondus lockdown, web, assign, Canvas, d2l, Desire2learn, professional, writing, assignment, assignments, help, tutoring    ;2021-12-24
2021-12-14T10:44:42-0700;30;Entire Phoenix Area;Central/South Phx;phoenix;Please visit us at www.sharpmindclasses.com Please feel free to text/call us at (650) 398-9490.About Us:At SharpMind Classes Inc, we are an experienced team that includes hand picked tutors and founders from IITs/Stanford dedicated to personalized 1:1 online tutoring. All our tutors have a Master of Science and/or a PhD degree in respective disciplines. All our tutors have  >5 years of experience  with online tutoring and helping students succeed in achieving their academic goals. Our online courses are designed to give students an excellent grasp of concepts in respective subjects with a focus on strong foundation building and practice based learning. We use state of the art audio/visual tools (Skype/Zoom/Google Meets/Whiteboard) to have a seamless online tutoring experience. Class room teaching uses one-size-fits-none approach and is not ideal for students with wide range of learning pace and abilities. It ends up overwhelming some students or causing boredom and thus reduced interest in others. We customize your tutoring plan based on the results of an assessment to define the content and pace of tutoring to your individual needs. Comprehensive assessments and worksheets are also used to define the baseline competency at the beginning of tutoring, to build confidence and test taking skills and to periodically demonstrate sustained progress.References can be provided upon request.Rates:Our rates are:* $20/hr for K-8* $25/hr for high school* $30/hr for college* $30/hr for HSPT/TASC/COOP, SAT/ACT, GMAT and GRE. First class is free for you to assess a good fit with the tutor.Tutoring Subjects:We offer online tutoring in the following subjects:Competitive Exams:•	HSPT •	TASC •	COOP •	SAT •	GRE •	GMAT Math:•	Grades K-12 Math•	Algebra 1 (Beginning), 2 (Intermediate)•	College Algebra•	Geometry•	Precalculus•	AP Calculus: AB and BC•	Calculus I: Differential Calculus•	Calculus II: Integral Calculus•	Calculus III: Multivariable Calculus•	Common Core: Math 1, Math 2, Math 3Science:•	Grades 1 – 10 Science.•	Chemistry•	AP Chemistry•	College General Chemistry•	Biology•	AP Biology•	College General Biology•	Physics•	AP Physics 1 and 2•	AP Physics C: Mechanics•	AP Physics C: Electricity & Magnetism•	College General PhysicsHumanities:•	Grades 1 – 12 English Composition and Writing.•	AP Economics•	AP World History  If you have a question about possible subjects to tutor in, please contact us with your contact information and we will promptly reply. Please feel free to text/call us at (650) 398-9490. ;2021-12-24
2021-12-12T12:05:46-0700;37.5;Scottsdale;East Valley;phoenix;Community College and University Winter Session 2021-2022 Tutoring and Exam Prep! Highly experienced. expert, local (Scottsdale), in person tutoring by John the science/math tutor (480-343-2212) for all levels (1st and 2nd semester) of:General Chemistry, Organic Chemistry, and Biochemistry, Statistics, Math (including college algebra, pre-calculus, and brief calculus),  general physics, general biology, microbiology and genetics, for Community College, ASU, UofA, AND High School$45 per hour for individual in person tutoring and exam prep. Group tutoring and exam prep also (2 or more students).Call or text John at 480-343-2212. Here's a list of some of the courses I tutor,Organic chemistry: ALL, including CHM 230, 231, 233, 234, 235, 236General chemistry: ALL, including CHM 101, 113, 114, 116, 130, 138, 151, 152Statistics, Including Psy 230Math: UofA Mat 100, 112, Community College and ASU: Mat 117, 121, 141, 142, 151, 170, 210Physics: PHY 101, 111, 112 PHS 110Biology and Biochemistry: UofA BIOC 384 385, Community College and ASU Bio 101, 181, 241, 282, 340 BCH 361,  Microbiology: AllALL High School chemistry, math, physics, and biologyI'm also the author of a general chemistry tutorial workbook which I sell (new copies) directly to students for $30. Call John (the Tutor) at the above contact information to schedule a tutoring session in the Scottsdale and ASU areas, and/or to purchase a new copy of the tutorial book!    ;2021-12-24
2021-11-24T12:09:31-0700;32.5;Phoenix;Phx North;phoenix;Do you need help with your Math, Chemistry, Physics, Engineering classes? Our mission is to help students succeed in their classes. We provide 24/7 assistance to take away the stress of upcoming Assignments / Homework , Projects and Exams. PCM only works with highly experienced, professional tutors who have a proven track record of success. Our individualized approach has helped countless students achieve the academic and test prep goals of their dreams.CHEMISTRY: Introductory Chemistry , AP Chemistry , General Chemistry I and II, Organic Chemistry I and II , Advanced Organic Chemistry , Biochemistry , Physical Chemistry , Analytical Chemistry , ThermochemistryPHYSICS: AP Physics , Engineering Thermodynamics , Applied Physics , Mechanics / Motion , Geometric Optics , Thermodynamics , Fluid Mechanics , Electro Statics / Electro-Dynamics / Magnetism , Circuits / Advanced Circuit Concepts , Oscillations / Waves , Atomic / Nuclear / Particle Physics , Modern Physics / Intro Quantum , Astro-Physics / Astronomy , Quantum Mechanics  MATH: Algebra 1 / Beginning Algebra , Geometry , Trigonometry , Pre-Algebra / Elementary Math , Algebra 2 / Intermediate Algebra , Probability and Statistics , Elementary Statistics , Business Statistics , Stats for Social Sciences and Psychology , Mathematical Concepts / Foundations of Mathematics , Business Calculus , Calculus 1 ( single variable ) , Calculus 2 ( single variable ) , Calculus 3 ( multi variable ) , Differential Equations ( calc 4 ) , Differential Equations using MATLAB , College Algebra / Advanced Algebra , Discrete / Finite Math , Linear Algebra.Hourly Rate: $35/hr**$30/hr for help requiring >10 hours. 20% discount available for referrals.Contact Us:Website:PCMassist.comEmail: help@pcmassist.comText: (818) 458-0086Work with us once and you won’t regret it! We guarantee an A+ work!    ;2021-12-24
