date_posted,link,price,city,subregion,region,post_text,prices_need_cleaning,posts_scraped_on
2021-12-23T11:20:47-0800,https://sandiego.craigslist.org/csd/lss/d/poway-experienced-math-tutor/7424383959.html,50,San Diego North And Central County,City Of San Diego,san_diego,"Hi, this ad is for in Person and Online Tutoring.I am John and I would like to help you with your math tutoring needs. I can tutor you middle school, high school and college Math. I specially tutor: Algebra, Geometry, Trigonometry and Calculus. However I do not tutor statistics.I am vaccinated against covid-19 and we can safely meet in person while online meetings through Skype or zoom are also available.In home tutoring is available in special cases.I have a Bachelor degree in Mathematics and I have been in tutoring business for more than 20 years. I have had countless number of satisfied students.I live in Poway but I can travel to most of San Diego County locations. We can meet at a local library or Starbucks .The Starbucks at: 7610 Hazard Center Dr. is my favorite coffee shop because most people find it easy to commute there from their locations all over San Diego. Meanwhile students in North county(Escondido/San Marcos) can meet me in the Starbucks near CSUSM: 342 S Twin Oaks Valley Road in San Marcos. Any other Starbucks works as well.Online tutoring will happen through preferably Skype but zoom is also available. Online tutoring needs some adjustments before the session begins.Here are my rates:1 hour session: $301.5 hours session: $402 hours session : $50Please text or call me to schedule the first session. My number is: (619)735-2579.",False,2021-12-24
2021-12-23T07:52:10-0800,https://sandiego.craigslist.org/csd/lss/d/la-jolla-math-physics-and-chemistry/7424285987.html,60,San Diego,City Of San Diego,san_diego,"Serving all of the San Diego area in Facetime and Zoom tutoring*Math*Physics*Chemistry*Algebra*Geometry*Pre-Calc*Calculus*Thermodynamics*Statics, Dynamics*Fluid Mechanics*Several other Engineering courses| ----- My Educational Background and Experience ----- |Dos Pueblos Engineering Academy Class of 2008.Cal Poly Mechanical Engineering BS 2013.Have my Fundamentals of Engineering Certificate in Mechanical Engineering.*AP Physics-Score 5*AP Chemistry-Score 5*AP Calc*4 Calc Classes at Cal Poly*2 Linear Analysis at Cal Poly| ----- Rate ----- |$60/hr and 1 hour minimum sessions.24 hour cancellation policy: If you cancel within 24 hours, you will be charged for 1 hour and I will credit you 1 hour next session.Please text to schedule. 805-705-five7two1. Include your name and 2 example photos of problems from the class.-Rick    ",False,2021-12-24
2021-12-21T10:05:44-0800,https://sandiego.craigslist.org/nsd/lss/d/del-mar-ucsd-honors-engineering/7423558881.html,50,Carmel Valley / Del Mar / Solana Beach,North Sd County,san_diego,"***FOR QUICK AND IMMEDIATE RESPONSE PLEASE SEND ME A TEXT MESSAGE @ (858)344-4122.** *Tutoring takes place online at the convenience of your home or at a safe location where social distancing and other COVID-19 guidelines can be followed.. I am a local San Diego Native and i am available for a quick chat via phone call and if necessary we can also meet in a safe contactless environment for a lesson..I am able to use Skype, FaceTime and Zoom for online tutoring. I am very comfortable with all of them and we can pick the one that you are most comfortable. I am open to other platforms as well.I am UCSD Engineering Graduate and a San Diego local looking to help students online or in-person. I have extensive experience helping high school students in Math and Physics. I have successfully helped students with all honors and regular integrated math series and also AP Calculus and AP Statistics. I am very very familiar with all San Diego School District’s curriculum for all Math and Physics classes.The basic premise is to help students gain confidence in the subject they are struggling to understand the concepts and applying them to problems or just understanding the BIG picture of what he/she is learning. I am able to break down the concepts so the students understand and are able to apply the concepts they learned. I try to adapt to the students/teachers specific needs and learning style so the student can relate what they learn in school when we review or try to get a foot hold of the concepts taught in school. My AP students have done very very well with most of the students scoring at least a 4 or a 5.I have excellent expertise in the below listed subjects and can tutor them with great proficiency.Integrated Math1/Math2/Math3 (Regular and Honors)Geometry (Regular and Honors)Algebra I & II (Regular and Honors)Algebra w/ TrigMath AnalysisPre Calculus  (Regular and Honors)Introduction to CalculusCalculusAP Calculus ABAP Calculus BCPhysicsAP Physics 1AP Physics 2AP Physics CStatisticsAP StatisticsIf you are interested, please call @ (858) 344-4122 or send me an email. If I miss your call, Please leave a clear message and I will get back to you ASAP. ***FOR IMMEDIATE RESPONSE PLEASE SEND ME A TEXT MESSAGE***Tutoring Charge - $50/hrBest Wishes,Stay Home and Stay Healthy.Thanks for reading and good luck with your search....    ",False,2021-12-24
2021-12-20T12:01:30-0800,https://sandiego.craigslist.org/nsd/lss/d/san-diego-experienced-and-skilled-math/7423203080.html,None,San Diego County,North Sd County,san_diego,"Through my method of step-by-step instruction, I will teach you each sequence of steps required to solve math-problems found in your textbook, where you will have, with enough practice (practice, in solving homework problems) the (memorized) knowledge associated with providing correct (hand-written) solutions to math-problems most likely to appear on quizzes/exams.  I tutor the following math classes:• Calculus with Analytic Geometry 1▪︎ Calculus with Analytic Geometry 2▪︎ Multi-variable Calculus• Differential Equations with Boundary Value Problems (with Partial Differential Equations) • Linear Algebra [at lower and upper division level, through ""Numerical Linear Algebra,"" (600 level class) such as Least Squares Methods Problems, and A = QR matrix decomposition]• Discrete MathematicsCall (619) 626-6524 to schedule an initial consultation.-Mark R. Rowe M. Rowe Mathematics Math Tutoring Services Co.Education/resume/references/letters-of-recommendation/testimonials: https://www.linkedin.com/in/hashtagmarkrrowehttps://www.facebook.com/theartofmath    ",False,2021-12-24
2021-12-19T10:24:37-0800,https://sandiego.craigslist.org/csd/lss/d/solana-beach-math-tutor-youtuber-14-yrs/7422762954.html,None,None,City Of San Diego,san_diego,"SullivanMath.com ◾ (914) 338-8484With me, you actually get it. That's because I make each step super simple. And that's because I've tutored more than 10,000 hours helping 300 students over 14 years.  I've helped students raise their GMAT quantitative scores by 8-12 points, GRE quant scores by 13-16 points, SAT scores by 300-400 points, ACT scores by 4-7 points, and get admitted to their top choices including the Yale School of Management, Columbia, NYU and Vanderbilt.I use a pen tablet hooked up to a gaming PC that does all the colorful computer magic in my 200 YouTube videos: youtube.com/MatthewSullivanMath I take pics of each problem we do and send them at the end of each session.I have extensive experience working with all types of individuals, including a great number with varying levels of ADD or dyslexia.(914) 338-8484Please leave me a text/voicemail with the course or test you need help with and I will get back to you within 24 hours.Test Prep: GMAT, GRE, SAT, ACT, SSAT, ISEE, SHSAT, TACHS, AP, RegentsCourses: AP Calculus AB & BC, Calculus I & II, Differential Equations, Statistics, Algebra I & II, Trigonometry, Geometry, Precalculus ",False,2021-12-24
2021-12-17T22:24:36-0800,https://sandiego.craigslist.org/csd/lss/d/san-diego-experienced-calc-diff-eq-math/7422227711.html,None,All Of San Diego County,City Of San Diego,san_diego,"Through my method of step-by-step instruction, I will teach you each sequence of steps required to solve math-problems found in your textbook, where you will have, with enough practice (practice, in solving homework problems) the (memorized) knowledge associated with providing correct (hand-written) solutions to math-problems most likely to appear on quizzes/exams.  I tutor the following math classes:• Calculus with Analytic Geometry 1▪︎ Calculus with Analytic Geometry 2▪︎ Multi-variable Calculus• Differential Equations with Boundary Value Problems (with Partial Differential Equations) • Linear Algebra [at lower and upper division level, through ""Numerical Linear Algebra,"" (600 level class) such as Least Squares Methods Problems, and A = QR matrix decomposition]• Discrete MathematicsCall (619) 626-6524 to schedule an initial consultation.-Mark R. Rowe M. Rowe Mathematics Math Tutoring Services Co.[Education/resume/references/letters-of-recommendation/testimonials]: https://www.linkedin.com/in/hashtagmarkrrowehttps://www.facebook.com/theartofmath    ",False,2021-12-24
2021-12-16T20:39:08-0800,https://sandiego.craigslist.org/nsd/lss/d/fallbrook-tutor-credentialed-teacher/7421792068.html,None,Online,North Sd County,san_diego,"Does your child need personalized tutoring support this school year?  Is your child struggling with reading, writing, or math?  Do you suspect that your child hasn't understood math concepts or has been hiding reading difficulties for several months, a year, or more? Has your child received a grade that does not reflect his/her potential?  If you answered yes to any or all of these questions, I'm here to help.My name is Jenny, and I'm a credentialed teacher and professional tutor with over fifteen years of classroom and on-line teaching experience combined with private tutoring experience. Elementary school, middle school, or high school, I will focus on bringing your child's skills to grade level and beyond in reading, writing, math, test prep, and more. For more information, please email me with your contact information, or call me at the phone number given. I would love to hear from you. Search for my business Learning With Jenny online to read some reviews and find out more specifically how I tailor my instruction to best suit your child's unique needs. I look forward to hearing from you soon.I've been tutoring online for over ten years and am currently tutoring online only.- Geometry- Alegebra- Pre-Algebra- English- Reading- Writing- Grammar- Literature- Home school support- Elementary - All Subjects- SAT Test Prep- ACT Test Prep- GED Test Prep- HiSET Test Prep- TASC Test Prep- RICA Test Prep- CBEST Test Prep- CSET Test Prep- TEAS Test Prep- ASVAB Test Prep+ moreAreas of expertise include elementary school, middle school, high school, SAT, ACT, special needs, CBEST, RICA, math, reading, writing, grammar, English language arts, homework help, study skills, home school, and more!    ",False,2021-12-24
2021-12-16T14:18:46-0800,https://sandiego.craigslist.org/nsd/lss/d/del-mar-ucsd-honors-engineering/7421681746.html,50,Carmel Valley / Del Mar / Solana Beach,North Sd County,san_diego,"***FOR QUICK AND IMMEDIATE RESPONSE PLEASE SEND ME A TEXT MESSAGE @ (858)344-4122.** *Tutoring takes place online at the convenience of your home or at a safe location where social distancing and other COVID-19 guidelines can be followed.. I am a local San Diego Native and i am available for a quick chat via phone call and if necessary we can also meet in a safe contactless environment for a lesson..I am able to use Skype, FaceTime and Zoom for online tutoring. I am very comfortable with all of them and we can pick the one that you are most comfortable. I am open to other platforms as well.I am UCSD Engineering Graduate and a San Diego local looking to help students online or in-person. I have extensive experience helping high school students in Math and Physics. I have successfully helped students with all honors and regular integrated math series and also AP Calculus and AP Statistics. I am very very familiar with all San Diego School District’s curriculum for all Math and Physics classes.The basic premise is to help students gain confidence in the subject they are struggling to understand the concepts and applying them to problems or just understanding the BIG picture of what he/she is learning. I am able to break down the concepts so the students understand and are able to apply the concepts they learned. I try to adapt to the students/teachers specific needs and learning style so the student can relate what they learn in school when we review or try to get a foot hold of the concepts taught in school. My AP students have done very very well with most of the students scoring at least a 4 or a 5.I have excellent expertise in the below listed subjects and can tutor them with great proficiency.Integrated Math1/Math2/Math3 (Regular and Honors)Geometry (Regular and Honors)Algebra I & II (Regular and Honors)Algebra w/ TrigMath AnalysisPre Calculus  (Regular and Honors)Introduction to CalculusCalculusAP Calculus ABAP Calculus BCPhysicsAP Physics 1AP Physics 2AP Physics CStatisticsAP StatisticsIf you are interested, please call @ (858) 344-4122 or send me an email. If I miss your call, Please leave a clear message and I will get back to you ASAP. ***FOR IMMEDIATE RESPONSE PLEASE SEND ME A TEXT MESSAGE***Tutoring Charge - $50/hr.Best Wishes,Stay Home and Stay Healthy.Thanks for reading and good luck with your search....    ",False,2021-12-24
2021-12-15T13:48:50-0800,https://sandiego.craigslist.org/csd/lss/d/san-diego-experienced-tutor-for-math/7421248998.html,30,None,City Of San Diego,san_diego,Now meeting online and in-person. I've been vaccinated and am confirmed to have antibodies.Tutor for all age levels.Mathematics:Pre-AlgebraAlgebraIntegrated Math 1-3Linear AlgebraGeometryPre-CalculusTrigonometryStatistics including BioStatisticsCalculusChemistry:General ChemistryOrganicBiochemistryAnalyticalInorganicPhysicalPhysics:General PhysicsMechanicsKineticsElectricityMagnetismOpticsAstronomyEnglish as a Second/Additional Language (ESL/EAL)I hold a Doctorate in Physical Chemistry with an Undergraduate Degree in Chemistry (Major)/Math (Minor)Decades of tutoring experience. . .Basic topics are $30/hrReply to this Ad or call/text 619-517-54 eight nine.Student references are available.    ,False,2021-12-24
2021-12-15T13:02:24-0800,https://sandiego.craigslist.org/csd/lss/d/poway-experienced-math-tutor/7421231197.html,50,San Diego North And Central County,City Of San Diego,san_diego,"Hi, this ad is for in Person and Online Tutoring.I am John and I would like to help you with your math tutoring needs. I can tutor you middle school, high school and college Math. I specially tutor: Algebra, Geometry, Trigonometry and Calculus. However I do not tutor statistics.I am vaccinated against covid-19 and we can safely meet in person while online meetings through Skype or zoom are also available.In home tutoring is available in special cases.I have a Bachelor degree in Mathematics and I have been in tutoring business for more than 20 years. I have had countless number of satisfied students.I live in Poway but I can travel to most of San Diego County locations. We can meet at a local library or Starbucks .The Starbucks at: 7610 Hazard Center Dr. is my favorite coffee shop because most people find it easy to commute there from their locations all over San Diego. Meanwhile students in North county(Escondido/San Marcos) can meet me in the Starbucks near CSUSM: 342 S Twin Oaks Valley Road in San Marcos. Any other Starbucks works as well.Online tutoring will happen through preferably Skype but zoom is also available. Online tutoring needs some adjustments before the session begins.Here are my rates:1 hour session: $301.5 hours session: $402 hours session : $50Please text or call me to schedule the first session. My number is: (619)735-2579.",False,2021-12-24
