date_posted;price;city;subregion;region;post_text;posts_scraped_on
2021-12-23T11:20:47-0800;50;San Diego North And Central County;City Of San Diego;san_diego;Hi, this ad is for in Person and Online Tutoring.I am John and I would like to help you with your math tutoring needs. I can tutor you middle school, high school and college Math. I specially tutor: Algebra, Geometry, Trigonometry and Calculus. However I do not tutor statistics.I am vaccinated against covid-19 and we can safely meet in person while online meetings through Skype or zoom are also available.In home tutoring is available in special cases.I have a Bachelor degree in Mathematics and I have been in tutoring business for more than 20 years. I have had countless number of satisfied students.I live in Poway but I can travel to most of San Diego County locations. We can meet at a local library or Starbucks .The Starbucks at: 7610 Hazard Center Dr. is my favorite coffee shop because most people find it easy to commute there from their locations all over San Diego. Meanwhile students in North county(Escondido/San Marcos) can meet me in the Starbucks near CSUSM: 342 S Twin Oaks Valley Road in San Marcos. Any other Starbucks works as well.Online tutoring will happen through preferably Skype but zoom is also available. Online tutoring needs some adjustments before the session begins.Here are my rates:1 hour session: $301.5 hours session: $402 hours session : $50Please text or call me to schedule the first session. My number is: (619)735-2579.;2021-12-24
2021-12-23T07:52:10-0800;60;San Diego;City Of San Diego;san_diego;Serving all of the San Diego area in Facetime and Zoom tutoring*Math*Physics*Chemistry*Algebra*Geometry*Pre-Calc*Calculus*Thermodynamics*Statics, Dynamics*Fluid Mechanics*Several other Engineering courses| ----- My Educational Background and Experience ----- |Dos Pueblos Engineering Academy Class of 2008.Cal Poly Mechanical Engineering BS 2013.Have my Fundamentals of Engineering Certificate in Mechanical Engineering.*AP Physics-Score 5*AP Chemistry-Score 5*AP Calc*4 Calc Classes at Cal Poly*2 Linear Analysis at Cal Poly| ----- Rate ----- |$60/hr and 1 hour minimum sessions.24 hour cancellation policy: If you cancel within 24 hours, you will be charged for 1 hour and I will credit you 1 hour next session.Please text to schedule. 805-705-five7two1. Include your name and 2 example photos of problems from the class.-Rick    ;2021-12-24
2021-12-21T10:05:44-0800;50;Carmel Valley / Del Mar / Solana Beach;North Sd County;san_diego;***FOR QUICK AND IMMEDIATE RESPONSE PLEASE SEND ME A TEXT MESSAGE @ (858)344-4122.** *Tutoring takes place online at the convenience of your home or at a safe location where social distancing and other COVID-19 guidelines can be followed.. I am a local San Diego Native and i am available for a quick chat via phone call and if necessary we can also meet in a safe contactless environment for a lesson..I am able to use Skype, FaceTime and Zoom for online tutoring. I am very comfortable with all of them and we can pick the one that you are most comfortable. I am open to other platforms as well.I am UCSD Engineering Graduate and a San Diego local looking to help students online or in-person. I have extensive experience helping high school students in Math and Physics. I have successfully helped students with all honors and regular integrated math series and also AP Calculus and AP Statistics. I am very very familiar with all San Diego School District’s curriculum for all Math and Physics classes.The basic premise is to help students gain confidence in the subject they are struggling to understand the concepts and applying them to problems or just understanding the BIG picture of what he/she is learning. I am able to break down the concepts so the students understand and are able to apply the concepts they learned. I try to adapt to the students/teachers specific needs and learning style so the student can relate what they learn in school when we review or try to get a foot hold of the concepts taught in school. My AP students have done very very well with most of the students scoring at least a 4 or a 5.I have excellent expertise in the below listed subjects and can tutor them with great proficiency.Integrated Math1/Math2/Math3 (Regular and Honors)Geometry (Regular and Honors)Algebra I & II (Regular and Honors)Algebra w/ TrigMath AnalysisPre Calculus  (Regular and Honors)Introduction to CalculusCalculusAP Calculus ABAP Calculus BCPhysicsAP Physics 1AP Physics 2AP Physics CStatisticsAP StatisticsIf you are interested, please call @ (858) 344-4122 or send me an email. If I miss your call, Please leave a clear message and I will get back to you ASAP. ***FOR IMMEDIATE RESPONSE PLEASE SEND ME A TEXT MESSAGE***Tutoring Charge - $50/hrBest Wishes,Stay Home and Stay Healthy.Thanks for reading and good luck with your search....    ;2021-12-24
2021-12-16T14:18:46-0800;50;Carmel Valley / Del Mar / Solana Beach;North Sd County;san_diego;***FOR QUICK AND IMMEDIATE RESPONSE PLEASE SEND ME A TEXT MESSAGE @ (858)344-4122.** *Tutoring takes place online at the convenience of your home or at a safe location where social distancing and other COVID-19 guidelines can be followed.. I am a local San Diego Native and i am available for a quick chat via phone call and if necessary we can also meet in a safe contactless environment for a lesson..I am able to use Skype, FaceTime and Zoom for online tutoring. I am very comfortable with all of them and we can pick the one that you are most comfortable. I am open to other platforms as well.I am UCSD Engineering Graduate and a San Diego local looking to help students online or in-person. I have extensive experience helping high school students in Math and Physics. I have successfully helped students with all honors and regular integrated math series and also AP Calculus and AP Statistics. I am very very familiar with all San Diego School District’s curriculum for all Math and Physics classes.The basic premise is to help students gain confidence in the subject they are struggling to understand the concepts and applying them to problems or just understanding the BIG picture of what he/she is learning. I am able to break down the concepts so the students understand and are able to apply the concepts they learned. I try to adapt to the students/teachers specific needs and learning style so the student can relate what they learn in school when we review or try to get a foot hold of the concepts taught in school. My AP students have done very very well with most of the students scoring at least a 4 or a 5.I have excellent expertise in the below listed subjects and can tutor them with great proficiency.Integrated Math1/Math2/Math3 (Regular and Honors)Geometry (Regular and Honors)Algebra I & II (Regular and Honors)Algebra w/ TrigMath AnalysisPre Calculus  (Regular and Honors)Introduction to CalculusCalculusAP Calculus ABAP Calculus BCPhysicsAP Physics 1AP Physics 2AP Physics CStatisticsAP StatisticsIf you are interested, please call @ (858) 344-4122 or send me an email. If I miss your call, Please leave a clear message and I will get back to you ASAP. ***FOR IMMEDIATE RESPONSE PLEASE SEND ME A TEXT MESSAGE***Tutoring Charge - $50/hr.Best Wishes,Stay Home and Stay Healthy.Thanks for reading and good luck with your search....    ;2021-12-24
2021-12-15T13:48:50-0800;30;None;City Of San Diego;san_diego;Now meeting online and in-person. I've been vaccinated and am confirmed to have antibodies.Tutor for all age levels.Mathematics:Pre-AlgebraAlgebraIntegrated Math 1-3Linear AlgebraGeometryPre-CalculusTrigonometryStatistics including BioStatisticsCalculusChemistry:General ChemistryOrganicBiochemistryAnalyticalInorganicPhysicalPhysics:General PhysicsMechanicsKineticsElectricityMagnetismOpticsAstronomyEnglish as a Second/Additional Language (ESL/EAL)I hold a Doctorate in Physical Chemistry with an Undergraduate Degree in Chemistry (Major)/Math (Minor)Decades of tutoring experience. . .Basic topics are $30/hrReply to this Ad or call/text 619-517-54 eight nine.Student references are available.    ;2021-12-24
2021-12-14T13:24:47-0800;30;None;City Of San Diego;san_diego;Feel free to text me at 909-640-3570Hi, I was accepted into the Ivy Leagues and tutor math, chemistry, and SAT/ACT. I’ve been a tutor for over 8 years working with students of all ages. I help with homework, quizzes and tests. For ACT/SAT I scored in the top 1%, use official practice tests and teach high-level tricks. I tutor through videocall, so you can work with me from the comfort of your home 🏠.+ Math ($30)+ Chem ($35)+ SAT/ACT ($45)+ Online Tutoring (Zoom/Skype/Facetime)Give me a call or text me at 909-640-3570. My schedule is flexible and we can get started ASAP.    ;2021-12-24
2021-12-08T15:03:06-0800;50;San Diego North And Central County;City Of San Diego;san_diego;Hi, this ad is for in Person and Online Tutoring.  I am John and I would like to help you with your math tutoring needs. I can tutor you middle school, high school and college Math. I specially tutor: Algebra, Geometry, Trigonometry and Calculus. However I do not tutor statistics.I am vaccinated against covid-19 and we can safely meet in person while online meetings through Skype or zoom are also available.In home tutoring is available in special cases.I have a Bachelor degree in Mathematics and I have been in tutoring business for more than 20 years. I have had countless number of satisfied students.I live in Poway but I can travel to most of San Diego County locations. We can meet at a local library or Starbucks .The Starbucks at: 7610 Hazard Center Dr. is my favorite coffee shop because most people find it easy to commute there from their locations all over San Diego. Meanwhile students in North county(Escondido/San Marcos) can meet me in the Starbucks near CSUSM: 342 S Twin Oaks Valley Road in San Marcos. Any other Starbucks works as well.Online tutoring will happen through preferably Skype but zoom is also available. Online tutoring needs some adjustments before the session begins.Here are my rates: 1 hour session:       $301.5 hours session:   $402  hours session :    $50Please text or call me to schedule the first session. My number is: (619)735-2579.;2021-12-24
2021-12-07T13:14:03-0800;57;San Diego;City Of San Diego;san_diego;BlakeTutoring.comOVER 450 5-star reviews on Wyzant & Thumbtack1 hour sessions for only $5730 minute sessions for only $35Text/Call: 724-804-8356Hi, my name is Alexander Blake, and I have been tutoring for over 10,000 hours! I graduated with a Bachelor's in Computer Science from California State University, Fullerton. In my time tutoring, I have tutored elementary through graduate level students.I have successfully prepared students for SAT and ACT Math tests, and up to Calculus level work. In high school, I was in an accelerated math program where I was able to take AP Calculus AB my junior year, and AP Calculus BC my senior year. After taking the AP Calculus AB & BC Exams, I scored a 5 out of 5 on both tests. This allowed me to not only begin my higher-level math courses early in college but has also enabled me to keep my math skills refined, and graduate with a 3.8 GPA.My tutoring philosophy focuses on the individual. I like to know what each of my clients likes to do outside of school so I can relate the math concepts they are learning about things they enjoy doing. To accomplish this, I personally design my lesson plans and customize them to my client's personality. For example, if I have a student that plays basketball, I will have them solve problems that incorporate concepts of basketball, such as finding a team's field goal percentage. By focusing on each person uniquely, I am able to fully understand why the student is not grasping certain concepts and can help them understand concepts and terms they are already familiar with. This is why all of my students have been and will continue to be successful!Math: Algebra I/II, Calculus (AP AB & College Level), Common Core, Geometry, Precalculus, Statistics (AP/College Level), & TrigonometryComputer Science: AP CS A/Principles, C/C++, CSS, HTML, Java, JavaScript, Linux (Bash/Zsh), Python, & SQLTest Preparation: ACT (All Sections), ASVAB, GED, HiSET, & SAT (All Sections)Text/Call: 724-804-8356 ;2021-12-24
2021-12-06T20:49:11-0800;10;Rancho Penasquitos/Rb/Poway;North Sd County;san_diego;High School/College Math and Chemistry Tutor (San Diego)I am a College Sophomore who is proficient in:Algebra & Integrated Math 1 & 2Pre-Calculus, Calculus AB, Calculus BC, Multi-Variable CalculusAP ChemistryAP BiologySAT/ACT Math/Subject test preparationI will also tutor Middle School mathRates:At my house in Rancho Penasquitos (Park Village Neighborhood) or any public location within 3 miles of the Westview High School. I can also do virtual. 45/hour (High School/College level)35/hour (Middle School level)There is a $10 extra per trip to your location outside the Westview High 3 miles radius (waived for minimum of 2 hours)Service Area: Proximity to these neighborhoods:Rancho PenasquitosRancho BernardoCarmel MountainPowayCarmel ValleyScripps Ranch4S Ranch & Del SurReferences available upon request.Satisfaction guaranteed (Don’t pay if you are not satisfied)    ;2021-12-24
2021-12-04T17:24:02-0800;55;San Diego;North Sd County;san_diego;Hello:If you feel that you need support in preparing for an exam in Nursing/Pre-nursing Math and Dosage Calculations, I can help you through providing you with high yield problems, together with solutions and discussions, pertinent to the exam that you are preparing for. This is a targeted approach, quite different from tutoring. I will be presenting to you material that I think you should know very well before you sit for your exam. This can be done by:1) meeting in person, if you are in the Fresno area.2) zoom sessions if you are not in the Fresno area, or you are, but you prefer not meeting in person.3) sending you the problems with solutions and discussions as e-mail attachments. If you opt for zoom sessions, it will include a presentation/discussion using a hand-held white board. But to make the session most effective, I will still send you the problems with solutions and discussions as e-mail attachments prior to our zoom meeting. This way you have a tool that you can use to follow our discussion, and also to keep with you to study. Additionally, with this approach, we will be able to minimize time lost in reading/writing non-essentials.For this effectiveness enhanced zoom session, ** I will need to have the problems/questions 2-3 days prior ** to our meeting.** Important: Please contact me ** well ahead of exam day (i.e. 2-3 days in advance) ** so that I can prepare the best and most helpful material for you. My goal is for you to go to your exam well prepared with sample categories of problems and their solutions to the point where you have no surprises in the exam questions.** The fee for a 90-100 min session is $55.** The fee is expected to be paid before starting the session.*** My Preparation:++ Ph.D. M.S. B.S. (Biology/Chemistry) University of California, Davis++ School of Medicine - Basic Sciences : 1 year: Histology, Biochemistry, Biophysics, Physiology++ DM-Th - Doctor in Medicine - Theory - Self awarded, subsequent to 7 years of self study of Medicine - Theory++ 8 years postdoctoral researcher and publisher++ 5 Summers: Lecturer, The Ohio State University++ 6 years Instructor Sherwood Test Prep, Fresno, CA++ 8 publications - One Novel math method for research in physics and chemistry++ 29 years of private instruction Chem-Physics-Math - MCAT - GMAT - GRE - USMLE (Topics) - MS, Ph.D. Nursing(1000 students) Zareh Darakjian, Ph.D. M.S. B.S. (honors) University of California, Davis, DM-Th [Self education]zdarakjian@gmail.com(559) 709-2022 (for initial contact, please text or e-mail me).    ;2021-12-24
