date_posted,link,price,city,subregion,region,post_text,prices_need_cleaning,posts_scraped_on
2021-12-27T14:00:06-0800,https://sanantonio.craigslist.org/lss/d/boerne-teach-math-reading-science-one/7425393495.html,None,Online,South Bay,sf_bay_area,"SPOTS LIMITED TEXT 925..725..6834ALL LEVELS ALL SUBJECTS10+ yrs experienceI PROMISE YOU A PASSING SCORE ON YOUR AP EXAM!WORK WITH THE EAST BAY'S LONGEST AND MOST TRUSTED TUTOR.I am here to help. I tutor ALL SUBJECTS and Levels. Connect with me for your FREE tutoring session.🎓 FREEI tutor the following subjects: in High School AP, IB, or University Levels:BIOLOGYCHEMISTRYMATH(Alg, Alg I/ II, pre-Calc, Calc, Geometry, Trig and anything in between)BiochemistrySpanishPhysicsOrganic chemistrySAT/ SAT II'sACTAP Chemistry, AP Physics, AP Calculus AB/ BC, AP Spanish AP Psychology (Social, Biological, Developmental, Social, Personality, etc)DATMCATCOUNSELOR/ ACADEMIC COACH:- College PERSONAL STATEMENTS: writing / editing-Thorough Application reviewSTUDY SKILLS EXPERT:-I will teach you how to STUDY SMART, NOT LONG-I will help you identify your specific learning style and teach you the skills necessary to become a more confident and efficient studentTECH SKILLS:Basic Coding using SPSS/ R Studio platformsExcel and WordABOUT ME:HARVARD GRADI have 12+ years of experience teaching and mentoring students in the Acalanes / San Ramon School Districts, All my students have been satisfied with my services and have seen a dramatic improvement in their grades and test-taking abilities in a short amount of time, I have two Bachelor's Degrees, Summa Cum Laude from UC BERKELEY in Chemical Engineering and Mathematics, GPA of 3.8, My senior thesis was published in the Journal of Engineering and Neuroscience, I also have a Masters in Chemical Biology from HARVARD.I am NOT a tutoring agency so I'm NOT after your money. I take pride in addressing my students’ academic needs by catering to their unique learning styles while giving them the tools needed to get A’s.Think of me as an academic Coach! I also do academic advising and have helped over 50+ students gain acceptance to some of the top universities such as HARVARD, UC Berkeley, UCLA, Princeton, etc.If you want to get an outstanding score in your CLASS/ AP EXAMS/ SAT II's /SAT's/ ACT's/ Final Exams/ DAT or MCAT. I will assist you every step of the way and create a custom study plan specific to your goals and learning needs.Thank you for your interest.I hope to hear from you soon!    ",False,2021-12-27
2021-12-27T13:55:32-0800,https://sanantonio.craigslist.org/lss/d/boerne-teach-math-reading-science-one/7424262901.html,35,Danville / San Ramon,East Bay,sf_bay_area,"HARVARD TUTOR- ALL SUBJECTS, ALL LEVELS-Kaplan/ Princeton Review trained SAT/ACT/ SAT II/ AP TeacherI will get you A's or your money back!TEXT 925 ..876.. 0061 with start date and the subject of interest- 10+ yrs experience serving Bay Area in AP/ College Level MATH, BIOLOGY, CHEMISTRY, ACT/SAT-$35/ hr introductory rateI graduated Summa Cum Laude - from UC Berkeley with GPA 3.8, I have my Masters in Teaching and Mathematics from HARVARD, GPA 3.9I tutor the following subjects at ALL: levels ( AP, College, IB, SAT II, ect... ):Math (Alg, Alg I/ II, pre-Calc, Calc, Geometry, Trig and anything in between)ChemistryBiologyPhysicsSpanishBiochemistryOrganic chemistrySAT/ACT/ SAT II'sPsychology (Social, Biological, Developmental, Social, Personality etc)I also provide Professional COLLEGE ADVISING & COUNSELING services:I have helped thousands of students get accepted into their dream schools ( Harvard, Princeton, Stanford, UC Berkeley/ UCLA, Cornell ect...)YOU can be next!Thank you for your interest.I look forward to working with you :)    ",False,2021-12-27
2021-12-27T12:56:25-0800,https://sanantonio.craigslist.org/lss/d/boerne-teach-math-reading-science-one/7423879878.html,45,San Jose,South Bay,sf_bay_area,"Hello All,My name is Qusai. I have been a tutor and a teaching assistant for over 7 years. I recently graduated from UC Santa Barbara where I used to teach undergraduate students. I have taught and tutored more than 200 students and have put in more than 300 hours of teaching time. The most important aspect of tutoring, in my opinion, is to identify and fill in gaps in their knowledge. The last thing you want is your child having trouble with a specific concept because their foundation was shaky. I can help make sure there are no gaps in their knowledge and make sure they are performing well in school.Some places I have taught:- Los Angeles Pierce College- UC Santa Barbara- For a Company in Shanghai, China- Private Clients in LAQualifications:Undergrad: UC BerkeleyGrad: UC Santa Barbara(Check out some of my reviews in the images attached)If you are looking to help your child in high school or college, reach out to me. I can help break things down and get them back on track towards a positive future.Rate: $45/hourOnline TutoringNote: I have all the tools for effective online tutoring including screen share and a stylus/digital white board.Text, call, or email- Qusai from QS Tutoring",False,2021-12-27
2021-12-27T10:13:35-0800,https://sanantonio.craigslist.org/lss/d/boerne-am-private-tutor-very-affordable/7423474689.html,"[90, 60, 40]",Cupertino,South Bay,sf_bay_area,"Don't wait to get a tutor! This applies to struggling students or brilliant ones, as I can help both achieve their best.Would your student perform better in his or her subjects with a weekly tutor? I am here to help. I am a master tutor with fifteen years of experience bringing out the best of my students. I can help your student improve their English and Math skills, and maximize both learning and grades.I earned a graduate degree from Harvard University, and I specialize adapting my teaching style to each unique student. Additionally, I have lived overseas for five years, and so I have a speciality helping students who have English as a second language (ESL). I also am an expert SAT and ACT tutor.I can help you with the following:ENGLISH: English classes,Writing, Grammar, StyleHISTORY & OTHER LIBERAL ARTS: History, Social Studies, Government, Political Science, etc.MATH: Arithmetic, Fractions, Algebra, Geometry, TrigonometrySCIENCE: Chemistry, Biology, PhysicsIndividualized TutoringEach student is different and I listen carefully so that our sessions are most productive. There is no substitute for one-on-one tutoring.Short Term or Long TermSome students have stayed with me their entire high school career. Others need just a bit of help to complete a difficult assignment. RatesIndividualized tutoring costs $90/hr for in-person or $60/hr for online. (AT LEAST UNTIL MAY  2022 CORONA VIRUS PRICING: $40/hr for online weekdays.) The introductory meeting is free without any obligation. I tutor online or in-person, and I use google docs and a whiteboard program for online students. Online tutoring works very well.NOTE: If your income has been disrupted due to the coronavirus, please indicate the hourly rate you are able to pay. ContactYou can text me or simply reply to this ad and we'll arrange a Zoom meeting.kenaritutor.com    ",True,2021-12-27
2021-12-26T14:41:01-0800,https://sanantonio.craigslist.org/lss/d/boerne-am-private-tutor-very-affordable/7423093053.html,None,Dublin / Pleasanton / Livermore,East Bay,sf_bay_area,"My name is Christine and I offer academic tutoring.Please text me at 510-751-2645.I have with an extensive knowledge of various subjects with years of experience to help you improve your test scores or specific subject knowledge. I know what it takes to get a high score on the SAT, ACT, GMAT, GRE, LSAT and MCAT as well as what it takes to get into a top tier school.Educational Background:University of Pennsylvania (undergrad)Princeton University (grad)Personal test scores:SAT: 1550/1600ACT: 35/36GMAT: 780GRE: 330MCAT:520LSAT: 176Here are the areas I can help with:TEST PREPARATION: SAT, ACT, GMAT, GRE, LSAT, PSAT, GED, HSPT, TOEFLBasic Math, Pre-Algebra, Algebra 1 & 2, Intermediate Algebra, College Algebra, Problem Solving, Geometry, Pre-Calculus, CalculusGeneral Chemistry, College Chemistry, AP Chemistry, AP Physics, Mechanics, General Science, Biology, Earth Science, Quantum PhysicsEnglish, Essay writingI look forward to helping you get to the next level.    ",False,2021-12-27
2021-12-26T13:27:18-0800,https://sanantonio.craigslist.org/lss/d/boerne-am-private-tutor-very-affordable/7422318785.html,None,San Jose North,South Bay,sf_bay_area,"Hi Parents & Students!Please call or text me at 647-679-4442 (San Francisco/San Jose) for more information, or to discuss your needs in more detail.I am an expert tutor and have helped students in every Math, Physics, Chemistry, Biology, English, Science, AP, IB, and SAT subject for over 12 years. I am a Certified Teacher and graduated with degrees in Physics, Biochemistry, Mathematics, and Education. Due to COVID-19, I tutor students online through a great virtual platform. If you are interested in meeting in person for tutoring, this is also possible. Feel free to contact me about this. Please read below for more information!My approach:- I tailor each lesson to match each student's learning style.- I am patient, personable, and understanding. I have worked with 40+ different learning types and have mastered how to work with each successfully. Every student is different but the goals are the same – to be successful. I can show them how.- I create detailed lesson notes and assign homework and feedback to ensure tutoring is as effective as possible.Information about what I'm offering:- Tutor all high school Math, Calculus, Science, Physics, Chemistry, Biology, and English courses.- Also Tutor University Calculus & Physics.- Will drive to your home or meet you at a convenient location.- Online lessons are also available.- First hour is free!- Cell: 647-679-4442 (texting is easiest, but feel free to call or leave a voice mail and I'll get back to you the same day).- Both high school and adult students are welcome to call!Information about me:- I am a Certified Senior Mathematics and Sciences Teacher- I have been teaching since 2009- I am fun and energetic in my teaching style!    ",False,2021-12-27
2021-12-25T19:18:26-0800,https://sanantonio.craigslist.org/lss/d/boerne-am-private-tutor-very-affordable/7422072791.html,None,Bayview,San Francisco,sf_bay_area,"📈 online tutor available to help you get the best grade in your classHello!I can assist you with any of the following classes:Statistics 📚✏️SPSS✏️Data Analysis✏️Research DesignMathematics✏️AlgebraGeometryTrigonometryAccounting🖥️ManagerialBusinessLawWritingPsychology📚Computer programming🖥️C#🖥️C+C++RustRJavaPython🖥️Spanish Tutor 📈Science TutorBiology 🖥️📚physicschemistryI have helped countless students get amazing grades in various universities:San Francisco State universityUniversity of CaliforniaMinerva CollegeGolden gateCinta AvedaFor more info or to discuss the help you need, please call/text me",False,2021-12-27
2021-12-25T15:46:00-0800,https://sanantonio.craigslist.org/lss/d/boerne-am-private-tutor-very-affordable/7421481765.html,None,None,North Bay,sf_bay_area,"I'm a Math and Science teacher with a number of years of experience working with high school and college students. I am staying in the area over the holiday season and am available to tutor any level of high school or college math, statistics, chemistry or physics.So, if you are preparing for post-holiday finals, trying to get ahead in the classes you'll be taking in the spring, prepping for a standardized test, or just want to make use of your break, feel free to contact me.I am happy to drive to meet you live with in the SF/Oakland/San Rafael triangle or to meet online on Zoom.algebra, geometry, precalculus, trigonometry, trig, calculus, calc, physics, chemistry, statistics, AP, PSAT, SAT, SAT II, ACT, GRE, GMAT, CBEST, ....    ",False,2021-12-27
2021-12-25T12:16:32-0800,https://sanantonio.craigslist.org/lss/d/boerne-am-private-tutor-very-affordable/7421037717.html,None,San Jose North,South Bay,sf_bay_area,"Hi Parents & Students!Please call or text me at 647-679-4442 (San Francisco/San Jose) for more information, or to discuss your needs in more detail.I am an expert tutor and have helped students in every Math, Physics, Chemistry, Biology, English, Science, AP, IB, and SAT subject for over 12 years. I am a Certified Teacher and graduated with degrees in Physics, Biochemistry, Mathematics, and Education. Due to COVID-19, I tutor students online through a great virtual platform. If you are interested in meeting in person for tutoring, this is also possible. Feel free to contact me about this. Please read below for more information!My approach:- I tailor each lesson to match each student's learning style.- I am patient, personable, and understanding. I have worked with 40+ different learning types and have mastered how to work with each successfully. Every student is different but the goals are the same – to be successful. I can show them how.- I create detailed lesson notes and assign homework and feedback to ensure tutoring is as effective as possible.Information about what I'm offering:- Tutor all high school Math, Calculus, Science, Physics, Chemistry, Biology, and English courses.- Also Tutor University Calculus & Physics.- Will drive to your home or meet you at a convenient location.- Online lessons are also available.- First hour is free!- Cell: 647-679-4442 (texting is easiest, but feel free to call or leave a voice mail and I'll get back to you the same day).- Both high school and adult students are welcome to call!Information about me:- I am a Certified Senior Mathematics and Sciences Teacher- I have been teaching since 2009- I am fun and energetic in my teaching style!    ",False,2021-12-27
2021-12-24T15:18:29-0800,https://sanantonio.craigslist.org/lss/d/san-antonio-math-chem-sat-act-tutor-30/7420795584.html,45,Berkeley,East Bay,sf_bay_area,"Hi all,My name is Mabel Kimble and I am currently a 3rd-year medical student. Prior to medical school, I was a research scientist at UCLA. I currently hold a Bachelor's of Science in Health Education, a Double Master's in Biomedical Sciences and Social Epidemiology. I am hoping to share my educational experience and offer tutoring services to students coming up in academics. I also have a very rich background in teaching which includes teaching Anatomy for 3 years and previous tutoring experience among elementary, middle, high school, and college students. I am also a published author of multiple peer-reviewed journals (google me or better yet PubMed me) lol. I love learning and better yet, I love to teach. Ultimately, love to see others begin to love STEM courses just as much as I do. I am also seasoned in research methods, biostatistics and epidemiology.  Here are the courses I am tutoring at this time (FYI courses are not limited to the ones listed, ask me). Research methodsBiostatisticsBiology Physiology Anatomy Pharmacology Immunology Algebra I and IITrigonometryLiterature BiochemistryEpidemiology Public Health General chemistry and etc. Other services I offer are the following: 1. In case of emergency and you need a presentation created (48 hours turn around time), this can be costly, just because when I've had student's reach out to me to do this, I've had to do an overnight and then coach them through the presentation before the presentation. 2. Presentation/Public Speaking coach (I've presented my research locally (Boston, San Diego, Washington DC, just to name a few) and internationally (Europe), there is a simple remedy to your anxiety and I can help)3. Edit your paper Use this link to my online calendar: https://calendly.com/mabelkimble (schedule a 15 min intro meeting or 60 min tutoring session of the subject of your choice) or message me at 510-993-7485. Accept: Zelle and venmo $45/hr Hourly,weekly, and monthly rates availablehttps://www.linkedin.com/in/mabel-m-kimble-mdc-ms-mph-a07b9425/",False,2021-12-27
